frame,n_cams_used,mean_spacing_err_mm,max_spacing_err_mm
0,2,0.13296050394179204,0.5665531641830466
1,2,0.09308731603438199,0.25772731226674644
2,2,0.07855874571137703,0.26098320772411154
3,2,0.08899270931215826,0.3476072004339123
4,2,0.10575303170387572,0.294424513817719
5,2,0.08631068110109628,0.4345992357409137
6,2,0.08647422919840399,0.2895547699214469
7,2,0.087092218545743,0.2968137857895896
8,2,0.08054693345906072,0.29445991089981777
9,2,0.0921488359107556,0.29528472820813945
10,2,0.09894836057626549,0.327244563696677
11,2,0.10038912130252517,0.29613137636996456
12,2,0.09458971111662232,0.28273969179922265
13,2,0.07678433074316712,0.236471502630186
14,2,0.09640957405619206,0.3137373388423792
15,2,0.09803336324415861,0.3956755939068628
16,2,0.0873872322215406,0.2714669498564727
17,2,0.1133172090782888,0.3969684199861996
18,2,0.10381310213849329,0.32803720496371935
19,2,0.10375826999051657,0.3156609294141244
20,2,0.1573351910709193,0.772308048024889
21,2,0.24468737805019428,0.9966380416621505
22,2,0.1585511649610054,0.49731570732981445
24,2,0.07196668572901868,0.3392239339992352
35,2,0.07252283363181886,0.3106481824255263
45,2,0.11262669911294138,0.17866698223201194
46,2,0.07737008249870844,0.27984446543424457
47,2,0.2247200032658272,0.8532894923124479
48,2,0.16813436374356397,0.4629215526187683
49,2,0.12494595846490013,0.3350791819806409
50,2,0.11859969374600209,0.4040847726293796
51,2,0.13501454019668094,0.4242757485632652
52,2,0.13695086285669913,0.41990735194085904
53,2,0.13802863088804818,0.4475251918685183
54,2,0.13732384115709179,0.3959691592797625
55,2,0.11863671644625363,0.5990797994495333
56,2,0.11299955245272023,0.3730985143965762
57,2,0.07176268258237302,0.20457984584286437
58,2,0.13028219487070786,0.3935264016176505
59,2,0.12527890717756185,0.39706084992026036
60,2,0.10320631388429641,0.278788431547064
61,2,0.15509163922686495,0.7649990613079263
62,2,0.12734983363938213,0.3578459839049357
63,2,0.1281218283864287,0.4518817997817455
64,2,0.12798719594525507,0.3980207240369855
65,2,0.14939943755785356,0.5863448163020563
