image_idx,corner_id,x,y
0,0,1069.35791015625,579.95947265625
0,1,1080.1004638671875,602.7296752929688
0,2,1091.3310546875,626.8026733398438
0,3,1101.58203125,652.7277221679688
0,4,1113.1514892578125,679.757568359375
0,5,1124.1534423828125,707.5308227539062
0,6,1135.72265625,736.273193359375
0,7,1147.5078125,766.5607299804688
0,8,1159.055419921875,797.722412109375
0,9,1049.37890625,598.0830078125
0,10,1059.1363525390625,621.9688110351562
0,11,1069.0723876953125,646.3109741210938
0,12,1078.8819580078125,671.6676635742188
0,13,1088.537353515625,698.1488037109375
0,14,1098.8037109375,725.8328247070312
0,15,1109.694091796875,754.4820556640625
0,16,1121.1822509765625,784.4727783203125
0,17,1132.3291015625,815.28271484375
0,21,1056.167236328125,689.7142333984375
0,22,1065.575439453125,716.0934448242188
0,23,1075.07958984375,743.3836669921875
0,24,1084.8251953125,771.9959106445312
0,25,1094.998779296875,801.4130859375
0,26,1106.0087890625,832.1526489257812
0,30,1034.1585693359375,706.8275756835938
0,31,1042.8302001953125,733.1146240234375
0,32,1051.8057861328125,760.431884765625
0,33,1060.954833984375,788.6080322265625
0,34,1070.53466796875,817.7255249023438
0,35,1080.189453125,847.9545288085938
0,37,997.333740234375,674.3700561523438
0,38,1005.1709594726562,698.2412109375
0,39,1012.518798828125,723.4100341796875
0,40,1020.535400390625,749.337890625
0,41,1028.736083984375,776.510986328125
0,42,1037.14208984375,804.5166625976562
0,43,1046.169189453125,833.2886352539062
0,44,1055.1312255859375,863.0708618164062
0,47,984.9522705078125,714.4790649414062
0,48,992.0635986328125,739.1267700195312
0,49,999.6912841796875,765.1180419921875
0,50,1007.1693725585938,791.9974975585938
0,51,1015.2471313476562,819.4209594726562
0,52,1023.62255859375,847.8663940429688
0,53,1032.2508544921875,877.3969116210938
0,56,964.0310668945312,729.3681030273438
0,57,971.8482055664062,754.46240234375
0,58,978.9550170898438,780.27490234375
0,59,985.8781127929688,806.4570922851562
0,60,993.598876953125,833.8059692382812
1,2,948.6231079101562,692.9725341796875
1,3,963.3275756835938,716.1177368164062
1,4,979.44091796875,740.8176879882812
1,5,995.5751342773438,766.4284057617188
1,6,1012.6649169921875,793.310791015625
1,7,1030.7757568359375,821.6312255859375
1,8,1049.3284912109375,850.98291015625
1,9,898.8114624023438,672.0150756835938
1,10,911.6272583007812,693.25927734375
1,11,924.792236328125,715.8218994140625
1,12,938.2710571289062,739.014404296875
1,13,952.8482666015625,763.8486328125
1,14,968.0516357421875,789.4806518554688
1,15,984.4039306640625,816.929931640625
1,16,1001.9679565429688,845.6163940429688
1,17,1019.781005859375,875.2727661132812
1,18,876.9747314453125,693.89794921875
1,19,888.8948364257812,715.3920288085938
1,20,900.811767578125,738.0001220703125
1,21,913.806640625,761.4757690429688
1,22,927.7080078125,786.763916015625
1,23,941.9989013671875,812.7470092773438
1,24,956.9276733398438,840.0596923828125
1,25,973.1163940429688,868.7702026367188
1,26,990.391845703125,898.7915649414062
1,27,853.4892578125,713.8245239257812
1,28,865.156005859375,736.0726318359375
1,29,877.1434936523438,759.1238403320312
1,30,889.3229370117188,783.2059936523438
1,31,902.3037719726562,808.5205688476562
1,32,916.0836791992188,834.9847412109375
1,33,930.3140869140625,862.3827514648438
1,34,945.6868286132812,891.271728515625
1,35,961.50634765625,921.084228515625
1,36,830.6492919921875,733.8753662109375
1,37,841.8963012695312,756.4025268554688
1,38,853.3795166015625,780.063720703125
1,39,864.8948364257812,804.1441040039062
1,40,877.1492919921875,829.8546752929688
1,41,890.0580444335938,856.2575073242188
1,42,903.7630004882812,883.907470703125
1,43,918.037353515625,912.8659057617188
1,44,933.1390380859375,942.8757934570312
1,45,808.8056030273438,753.344970703125
1,46,819.2157592773438,776.0115356445312
1,47,830.55029296875,799.8971557617188
1,48,841.7169189453125,824.7776489257812
1,49,853.3877563476562,850.1761474609375
1,50,865.8743286132812,877.05126953125
1,51,878.4137573242188,904.6464233398438
1,52,892.1006469726562,933.5274047851562
1,53,906.4495849609375,963.6725463867188
1,55,797.0382080078125,795.116943359375
1,56,807.2470703125,818.894775390625
1,57,818.5274047851562,843.9268188476562
1,58,829.868408203125,869.9548950195312
1,59,841.0614013671875,896.5432739257812
1,60,853.5800170898438,924.4906005859375
1,61,866.3787841796875,953.4766845703125
1,62,879.426513671875,983.2905883789062
2,2,708.1803588867188,830.6817016601562
2,5,653.1944580078125,909.5242919921875
2,6,633.9696655273438,937.26708984375
2,7,614.3552856445312,965.9846801757812
2,8,594.4554443359375,995.1129150390625
2,9,715.8145751953125,764.1641235351562
2,10,698.3229370117188,787.782958984375
2,11,680.2597045898438,811.94189453125
2,14,623.8604125976562,888.9553833007812
2,15,604.0918579101562,916.2975463867188
2,16,583.8079833984375,944.8299560546875
2,17,563.5875244140625,973.7172241210938
2,18,688.9495849609375,746.9898681640625
2,19,671.265380859375,769.6842041015625
2,20,652.941162109375,792.9779663085938
2,21,634.15576171875,817.2193603515625
2,22,614.4520263671875,842.712646484375
2,23,595.0084838867188,868.7557373046875
2,24,574.689453125,895.3834228515625
2,25,554.0949096679688,923.1192016601562
2,26,533.282470703125,951.7666015625
2,27,663.1184692382812,728.7868041992188
2,28,644.66650390625,750.9530029296875
2,29,626.0560302734375,773.9168701171875
2,30,606.78173828125,797.7445068359375
2,31,586.8471069335938,822.6439208984375
2,32,566.6154174804688,848.1215209960938
2,33,545.83642578125,874.2813110351562
2,34,524.9457397460938,901.63134765625
2,35,503.5541687011719,929.3416137695312
2,36,637.49267578125,709.8848266601562
2,37,618.7476806640625,731.7847290039062
2,38,599.5394897460938,754.644775390625
2,39,579.8384399414062,777.7864990234375
