frame,source_cam,target_cam,mean_px_err,n_corners
34,0,1,1.0937657384651973,2
37,0,1,0.7483372272124296,2
38,0,1,0.9068697083292552,2
40,0,1,1.4720053600935064,2
41,0,1,0.5376998141909137,2
42,0,1,1.2397873238851733,4
43,0,1,0.5886951754915917,5
44,0,1,0.7962996956319529,9
45,0,1,0.771547314766968,10
47,0,1,0.7376373093604535,14
48,0,1,0.7995251135325625,16
49,0,1,0.5842650865726131,15
50,0,1,0.9655582931407506,16
51,0,1,0.7441734511897806,16
52,0,1,0.7402219946047794,16
53,0,1,0.9859054114202171,14
54,0,1,0.7326235105142587,9
55,0,1,0.7552503743606109,7
56,0,1,1.5751529787157763,3
63,0,1,0.803217305760411,3
66,0,1,0.43840540232990144,4
67,0,1,0.47835989524235867,9
69,0,1,0.7126690057541617,10
70,0,1,0.7404402279472376,8
71,0,1,0.7970141811420485,14
72,0,1,1.0018301492068569,9
73,0,1,1.0341692684886217,17
74,0,1,0.4696087509743963,20
75,0,1,0.6779986148580474,28
76,0,1,0.9589840714473737,32
77,0,1,1.1450386543620785,34
78,0,1,1.0922027100962126,30
80,0,1,0.7416991030881345,29
81,0,1,2.0056597928918394,23
83,0,1,1.1445726979047581,29
84,0,1,0.7531514974962273,29
85,0,1,1.0570881367039104,30
86,0,1,0.7964726892480053,24
87,0,1,0.8711319761276345,29
88,0,1,1.393457413207924,8
409,0,1,1.2598043835130475,8
410,0,1,1.0521261754003681,15
411,0,1,1.325896093878212,17
413,0,1,1.3717936833676323,33
414,0,1,1.3991329812753528,42
415,0,1,0.9675306852270492,56
416,0,1,1.4682173081862397,61
417,0,1,0.6024887274026818,61
418,0,1,1.6128274607040458,55
419,0,1,0.7895659381649895,61
420,0,1,1.3037384461563906,61
421,0,1,0.7029271339688858,55
422,0,1,1.253796722220341,63
424,0,1,1.324694784519499,59
425,0,1,1.2585132421126985,63
426,0,1,1.3309012099153694,63
427,0,1,0.9709976445429845,63
428,0,1,0.7552645134042935,61
429,0,1,0.8559788022395877,63
430,0,1,0.843265777675126,63
431,0,1,0.765796918038172,63
432,0,1,1.691871687968835,63
433,0,1,2.7851228437998143,55
435,0,1,0.8708832620504239,59
436,0,1,0.957887142986557,54
437,0,1,1.0199136992944822,58
438,0,1,1.020828376274369,43
439,0,1,1.8129656928567988,27
440,0,1,1.0603226601917963,25
441,0,1,1.2694965792656443,12
442,0,1,0.8997333656413163,7
444,0,1,1.5375197037014334,1
454,0,1,0.9512078434434192,3
455,0,1,1.6478114534102022,2
456,0,1,2.2870649072782037,2
458,0,1,0.9078486943287896,2
459,0,1,2.9181919384808603,1
460,0,1,0.9936789020508019,4
461,0,1,1.7972614755456942,6
462,0,1,1.36334287989778,5
463,0,1,1.2158018448652606,5
465,0,1,0.5882314517404611,2
660,0,1,0.7852461308512796,2
661,0,1,0.8713692982416945,2
662,0,1,0.6892147387739447,2
663,0,1,1.1184775388895192,2
664,0,1,0.5210722821673811,2
665,0,1,1.4078961396209424,2
666,0,1,2.1340455437654957,16
669,0,1,1.4237177034362731,20
670,0,1,1.1428253171922902,23
671,0,1,1.651645070790733,25
672,0,1,1.1246859779234843,21
673,0,1,1.0638827746330146,19
674,0,1,0.8960028797815767,18
675,0,1,1.4036356885087167,20
676,0,1,1.7696878897497246,18
677,0,1,0.9516305710232525,25
678,0,1,0.7923762772687717,37
680,0,1,0.886928710897425,33
681,0,1,0.7465265346030786,29
682,0,1,0.8248556197607978,26
683,0,1,1.1534457059434666,22
684,0,1,1.397634667035518,16
685,0,1,1.8415856328983,12
686,0,1,1.0548463211302568,8
687,0,1,1.266307444159481,8
688,0,1,1.6394547710798388,10
689,0,1,1.1268500969509503,13
691,0,1,1.9003524181158122,13
3,0,2,0.6646531376612853,63
4,0,2,0.4229847385459901,63
5,0,2,0.399772098087719,63
6,0,2,0.4396088731078873,63
7,0,2,0.3918888509862872,61
8,0,2,0.35224858707907597,63
9,0,2,0.45310583297550083,63
10,0,2,0.3656976970238536,63
11,0,2,0.369569537666887,63
12,0,2,0.4673865463071352,63
14,0,2,0.3503888562892751,63
15,0,2,0.5096947174653625,63
16,0,2,0.5162139961470681,63
17,0,2,0.41605262603188065,63
18,0,2,1.6235854722245573,63
19,0,2,1.583958511700603,63
20,0,2,0.688194535852743,63
21,0,2,0.5333031347922055,63
23,0,2,1.0222761851410231,63
25,0,2,0.7701527191307671,63
26,0,2,0.7704338176178848,63
27,0,2,0.9031108954624892,63
28,0,2,0.47260192569019693,63
29,0,2,1.0767879092341965,63
30,0,2,0.9333871303927889,63
31,0,2,0.5401542291650666,63
32,0,2,0.5252445702290517,63
33,0,2,1.3775051451703433,63
34,0,2,1.0902344761063867,63
36,0,2,0.9486055459661515,63
37,0,2,0.4973160512259876,63
38,0,2,0.6033488114619935,61
39,0,2,3.2067499467639924,63
40,0,2,1.7099240082692522,59
41,0,2,1.1972200281945615,63
42,0,2,1.3430668462536202,59
43,0,2,0.9899574158721492,63
44,0,2,0.816446925380462,61
45,0,2,0.8505106096224301,56
47,0,2,0.942206860552594,61
48,0,2,0.8631898742284926,57
49,0,2,1.299005850624844,59
50,0,2,0.9500212269849383,58
51,0,2,0.9468803699523101,61
52,0,2,0.9328281620306509,55
53,0,2,0.800406463690653,53
54,0,2,0.863542355795666,42
55,0,2,0.7888575160102044,43
56,0,2,0.8401395481612259,46
