frame,n_cams_used,mean_spacing_err_mm,max_spacing_err_mm
2,2,0.12549607344668895,0.261970425364029
3,2,0.0947680152284818,0.28311226345534635
4,2,0.07332007942839869,0.2638650453379958
5,2,0.08012146014942241,0.3225621240022236
6,2,0.09751085530685058,0.2961458827595992
7,2,0.06966022454540598,0.30627711583014816
8,3,0.23081638966329246,1.4527116308131298
9,3,0.1464409861102798,0.7856603261448998
10,3,0.2569855120557184,1.0748047169259756
11,3,0.16594271717592302,0.6447885037526475
12,3,0.17032632124314195,0.7653502441737382
13,2,0.09211160247782094,0.1988572552085975
14,3,0.17627887661091965,0.8392040844782331
15,3,0.20916415975397293,0.801303676651769
16,3,0.1907125837468225,0.7616983287541019
17,3,0.1826376548955292,0.8493515261698386
18,3,0.22966491628044852,1.0126843765384668
19,3,0.23047283901979096,0.7751147389658888
20,3,0.21064295967421093,0.7630193211567056
21,3,0.17638195754165392,0.6553114404059361
22,3,0.21426459120877295,0.9739949060104703
23,3,0.21681581450562548,0.9889259110988438
25,3,0.1773393344648401,0.7569333382929262
26,3,0.16544140323990897,0.5885594641988796
27,3,0.14865186238004663,0.8364235318194975
28,3,0.14368331792386654,0.5242766272164183
29,3,0.14056243204611996,0.45609243914128406
30,3,0.14477427029706244,0.890165548803102
31,3,0.12407088747727338,0.47762690555284637
32,3,0.141753708935537,0.3977275718964508
33,3,0.13049052721359472,0.8360571131486929
34,3,0.11816653174692433,0.3333538554323202
36,3,0.13271917503737135,1.1078415845980523
37,3,0.1295710650309421,0.6218618110111589
38,3,0.12945772939679828,1.173333451825187
39,2,0.10015275019716888,0.4077510523374586
40,3,0.11071510366879832,0.4096438829089034
41,3,0.15192791296165456,0.48429728544978345
42,3,0.19200512861918723,0.9658189407767483
43,2,0.07907253580460279,0.3133865201317698
44,2,0.14613181678598314,1.3396673006043949
45,2,0.07810944327230257,0.29400275054593594
47,2,0.07337504112733377,0.252707297118706
48,2,0.09433079119980718,0.40419961763568313
49,2,0.20740360612463685,0.5070540700521862
50,2,0.09569728551609175,0.36175959419927284
51,2,0.12581521193018655,0.3883836325712098
52,2,0.13115035566338967,0.596427784761086
53,2,0.11464484969322568,0.4686973101077699
54,2,0.08143092636148391,0.29940932455102887
55,2,0.09684892347109902,0.42099791515029517
56,2,0.13279631255357385,0.3798301747305402
58,2,0.29451058552100723,0.6875783762725838
59,2,0.15536797128618526,0.37313880955143486
60,2,0.163476644183622,0.3856735668389191
75,2,0.25127821823278995,0.6946807234589416
76,3,0.19300155236983674,1.1840272073808458
77,3,0.15159327409367745,0.8607840603533576
78,3,0.11447103868672552,0.44751599171280465
80,3,0.12436727116133924,0.5923213598146084
81,3,0.10341375285607453,0.5052617845124792
82,3,0.12928231765278247,0.527040034394511
83,3,0.12740821073127626,0.5841138159855264
84,3,0.16551720474261442,0.8074644646500484
85,3,0.10918764912930873,0.5242325906235288
86,3,0.10043595596935516,0.6254206844859
87,2,0.09814009339514453,0.41131216163670103
88,3,0.10241022046716054,1.129412107087658
89,2,0.08215575769664978,0.2160925038272761
90,2,0.07401571000407756,0.10349355759933787
91,2,0.07473649979847165,0.25904408918670657
92,2,0.09106431856851877,0.33833705652445284
93,2,0.12328535243279817,0.3499196691115515
94,2,0.08792614070425182,0.3656734333128131
95,2,0.08327408743537391,0.25893561605049714
96,2,0.1092725417341206,0.29727204188681466
97,2,0.08423308847065883,0.2666855390907642
98,2,0.0783624688393811,0.24352282537167674
99,2,0.09881050726566201,0.30188565751714314
100,3,0.12162800104283533,0.9700279804564851
101,2,0.05528696599879022,0.11019763172512298
102,3,0.09259157439716376,0.36634269728540864
103,3,0.17161827889912354,0.8298214454686079
104,2,0.09528743134184266,0.3030445038022245
105,2,0.10430876875089591,0.38111954332528675
110,2,0.0894928584242613,0.4653190966444031
111,2,0.11130749728676871,0.5779818771039988
113,2,0.0966755270579421,0.23902909460440241
114,2,0.08745722703140348,0.5153297366640337
115,2,0.07568395591334917,0.25038629773590015
116,2,0.10351001763780501,0.45255475336803896
117,2,0.07716947629246071,0.2972157760637584
118,2,0.10623239992293389,0.42398977182836817
119,2,0.1187482505663194,0.49007449414059656
120,2,0.09555377579000847,0.4058684817013596
121,2,0.08109900435364621,0.4361733515811407
122,2,0.07806739121610497,0.23015508138524501
123,2,0.09621793674576572,0.47643525083302174
124,2,0.13046218484323946,0.34550278263884016
125,2,0.0649164659852274,0.338465061724226
126,2,0.07482307562619132,0.27247002876093496
127,2,0.06493750413918777,0.3925236367422827
128,2,0.07935081197210349,0.2941513583353921
129,2,0.0733323332056132,0.31815704035600967
130,2,0.07172025457186659,0.3931232149296353
131,2,0.05633274377742912,0.17442080594850043
132,2,0.06675206358903553,0.17043072243596788
133,2,0.053293034190233936,0.14770934708603287
134,2,0.04662976492762117,0.1515627616817672
135,3,0.14646011625031793,0.6427182744060018
136,2,0.05791993218353754,0.19071314871832792
137,2,0.07192841230927027,0.21885818788605627
138,2,0.0706255092367267,0.27537844291107905
139,2,0.06826266779207427,0.30064382874225515
140,2,0.07442876876447505,0.3542498868483769
141,2,0.12645612284105387,0.49048490554048574
142,2,0.06380094911668632,0.20766953741831531
146,3,0.1844572503142754,0.8059720061882186
155,2,0.2807889173561976,0.595423649422
156,2,0.27164114157927005,0.607759028054447
157,2,0.1114668551811788,0.38752811460125713
158,2,0.2691273493478924,0.7613038228027579
159,2,0.20323305791239857,0.5975930917604226
160,2,0.21871206723228967,0.6201342761322816
161,2,0.19801152930980184,0.7979684671723872
162,3,0.19622006830905703,0.6414768453569739
163,3,0.19530964390671945,0.930120826519814
164,3,0.16472559997462888,0.6233046896273776
165,3,0.15299676309891644,0.6529077736252241
166,3,0.15747879688685493,0.691076424837695
167,3,0.12808052170306522,0.427161858869176
168,2,0.10427198711691056,0.4812533637837436
169,3,0.15077988361458503,0.5373801011316314
170,3,0.15249371597430814,0.5652847958680165
171,3,0.11546283785410788,0.47296905921141025
172,3,0.13328723548275165,0.5369720983779379
173,3,0.12161944054639011,0.40788353487137063
174,3,0.12930567251472375,0.7198307244811846
175,3,0.12491154402411553,0.5315305712662797
176,3,0.12106005986806163,0.4902624072941515
177,3,0.12267728110632695,0.5269657272221999
178,3,0.09874141787273914,0.4814896897742289
179,3,0.14113017959156895,0.5725948692903126
180,3,0.1234926718897599,0.5700519213021824
181,3,0.12566105214836623,0.6709545205920535
182,3,0.1258524506712722,0.48841784672511157
183,3,0.11216614356676761,0.48787923697210867
184,3,0.1391364410559997,0.6755577695788106
185,3,0.11527228534385937,0.5663496593079422
186,3,0.11613296387639577,0.42875559735784663
187,3,0.12424907250285872,0.5817289768346654
188,3,0.13047263398997844,0.5366542130085216
189,3,0.11894400966235666,0.5219458200789034
190,2,0.14638741013254222,1.286933222714056
