index1,index1_flex,index1_axis,index1_crossaxis,index2,index2_flex,index2_axis,index2_crossaxis,fnum
,,,,,,,,0
169.19742523824166,169.19742523824166,-62.426255616722514,20.57055320111182,171.43193313960882,171.43193313960882,-48.59336855603538,31.9515437592694,1
176.1877692561248,176.1877692561248,-27.18158061447831,35.1909759200635,177.81442482561545,177.81442482561545,168.98181217211064,-38.83296093173585,2
178.37798058148937,178.37798058148937,86.74142770347432,2.8709948837685673,177.4763359256554,177.4763359256554,-129.00414553787877,-22.698917093893986,3
178.15616184879966,178.15616184879966,122.20830048000124,-21.062875033230593,177.30910086657815,177.30910086657815,-120.34298834726205,-18.82231175734283,4
175.30662776186682,175.30662776186682,112.13953936823782,-12.920201587222417,177.9067421782907,177.9067421782907,-156.15232466398035,-29.918612293565143,5
176.89096331099884,176.89096331099884,112.96454803050793,-13.41450576650063,177.43734978085183,177.43734978085183,-153.9326787654071,-28.649759990148063,6
175.05175405329518,175.05175405329518,130.88703610665186,-22.629658449627897,175.72290901208495,175.72290901208495,-127.77203409781673,-18.829730866053104,7
176.6450244976448,176.6450244976448,117.452730778395,-16.051745191947624,176.78388222489716,176.78388222489716,-108.21147382270769,-9.82625011478495,8
177.9398762323231,177.9398762323231,135.76153109233093,-24.296130852325124,177.98697642975392,177.98697642975392,-116.47392728492913,-14.46249657872957,9
176.9655597613086,176.9655597613086,118.10643888848192,-15.996469910212781,179.06455854694954,179.06455854694954,-104.35136111733259,-8.31540513197667,10
179.4334752318735,179.4334752318735,63.438844249563054,15.285405537526984,179.08578521200232,179.08578521200232,-177.09156296437632,-30.879204024897454,11
171.84660302866723,171.84660302866723,-53.13449060079875,28.436416631580887,177.51873321596958,177.51873321596958,-95.91629145099535,-4.454872604010118,12
163.96448317393245,163.96448317393245,-89.0738148272624,6.948934101995277,172.54766006501103,172.54766006501103,-81.22987249826227,11.924280414800792,13
153.06232142664126,153.06232142664126,-136.68755077546052,-14.455468794985924,163.51521875130624,163.51521875130624,-86.82314213624257,8.539434174651266,14
146.9438831687872,146.9438831687872,-178.8557146277071,-17.867963876007103,167.27499680765803,167.27499680765803,-23.575703026993768,8.20855107717276,15
149.44345258730806,149.44345258730806,171.71809726556594,-19.128492113628674,167.7967336366847,167.7967336366847,77.72950692227386,6.408628514095956,16
151.54222108820994,151.54222108820994,171.44154565919231,-18.608080528844493,168.0988650133348,168.0988650133348,85.74013589006846,5.696277810852786,17
151.7288897703443,151.7288897703443,-179.9180296198947,-18.1599235288781,166.75423129378228,166.75423129378228,175.43122763387723,5.5339317547571385,18
148.57927275048198,148.57927275048198,-165.40111160944792,-20.35533530994498,164.13306318624606,164.13306318624606,-94.97560250008864,6.469748422055521,19
155.37427201811755,155.37427201811755,-130.0430273159039,-10.25006111918371,166.60599799611646,166.60599799611646,-92.55221167223591,5.026104066834036,20
151.92033482001315,151.92033482001315,-142.25188661784284,-16.52061027148347,172.17404218172172,172.17404218172172,-95.09933562696094,1.6862336616584623,21
172.99849523640484,172.99849523640484,-133.90715118482984,-23.42386739110667,177.88449676042566,177.88449676042566,4.235832508091114,31.55424787101565,22
173.89056693217407,173.89056693217407,-11.950766604725374,42.2825114676801,171.48232622245752,171.48232622245752,-5.905203843395026,50.34310127437575,23
169.98940122913714,169.98940122913714,17.81891471063191,42.09881972669688,172.0725715448282,172.0725715448282,9.161399351889415,52.5816505216084,24
172.02645955736304,172.02645955736304,29.2409375901417,37.96745632180158,168.3171460560609,168.3171460560609,-2.6305169435915388,51.24961221608833,25
170.98833366284796,170.98833366284796,32.67396734674948,37.65721918668344,169.38841000086964,169.38841000086964,-2.432286566065541,51.68074747601794,26
171.0846500507368,171.0846500507368,27.345015375421877,36.70980025331575,169.67522063938526,169.67522063938526,-0.13934290139053432,49.39390193307633,27
171.41715597009633,171.41715597009633,20.324805878477875,37.73493227595821,169.3191869571351,169.3191869571351,-2.755557745478451,49.26482548546175,28
170.39409362692206,170.39409362692206,30.128283266160825,34.04993015145199,170.30214827405894,170.30214827405894,3.842306748923632,47.133081926990975,29
169.75532465553914,169.75532465553914,27.770511486174435,35.836219403590995,169.86718872706436,169.86718872706436,2.3916817419683536,49.16609679429188,30
170.59885507096845,170.59885507096845,31.373373564776642,33.97185318492215,170.14415689843528,170.14415689843528,4.641638578146496,47.28292572073343,31
171.6606604272244,171.6606604272244,20.69798102934336,34.84971003322535,169.31433832985195,169.31433832985195,7.096267448040154,46.05463878475575,32
171.77267261121546,171.77267261121546,20.52541093465113,33.73991579711569,168.52832969664212,168.52832969664212,5.427121131288491,45.361466553543885,33
172.048578665467,172.048578665467,25.023316686787563,35.212248829640686,168.66511607224078,168.66511607224078,0.680218114486024,47.39296735087209,34
173.63904080131428,173.63904080131428,9.470822569407405,37.37461760066506,169.41807711963455,169.41807711963455,1.1487915856793232,46.52944019421781,35
175.96454600154692,175.96454600154692,1.1409164215549776,36.91143629309035,172.2768802984427,172.2768802984427,-6.526077288816046,42.76833046346864,36
176.54430895237206,176.54430895237206,-100.13795306873132,-4.242310755064687,176.56171228549846,176.56171228549846,-43.85031254147562,23.15540557492273,37
160.61474794021075,160.61474794021075,-125.9118093686596,-9.892577087239586,173.62239259132414,173.62239259132414,-98.9385142244581,-0.8567195842356542,38
159.86650766109068,159.86650766109068,-142.8804786326777,-20.478671460058486,174.1928270054222,174.1928270054222,-130.5252859514155,-11.599177240922764,39
174.97726449541676,174.97726449541676,-93.24596135853406,-0.5486989444651265,175.18841709224915,175.18841709224915,-29.874008708013946,35.82601300243934,40
177.45652344583854,177.45652344583854,33.35982176349636,31.80625347418524,170.0272493979024,170.0272493979024,7.205158427477907,42.06788680491921,41
174.42868282354377,174.42868282354377,43.7637528997688,27.118424957592396,169.53820818068394,169.53820818068394,-12.987901330824114,41.15972850436092,42
172.97298215418678,172.97298215418678,69.39692633659403,14.167329063967447,171.14081069252993,171.14081069252993,-2.3901861708607353,37.186962220576135,43
174.2135184630946,174.2135184630946,81.37903639138472,7.0905202048641405,170.03891272627945,170.03891272627945,10.258070790310867,35.21922540944068,44
173.26739307451462,173.26739307451462,54.117676840712505,20.685381009201667,172.80464900030736,172.80464900030736,17.247402617747383,35.62189250156948,45
172.51843527926638,172.51843527926638,60.83900185184292,18.65343612491103,170.9662873338285,170.9662873338285,7.592259048889134,38.374175182618806,46
174.02680010318267,174.02680010318267,50.06861705656371,22.079620571978207,170.98688995467666,170.98688995467666,2.108594874909997,37.58640184537744,47
174.38102878015582,174.38102878015582,34.744955443479995,27.519403094768272,170.46516390498078,170.46516390498078,-0.003281758793405706,39.15179392422285,48
174.11651265397398,174.11651265397398,37.30403841990063,27.716421385232696,170.41074029773856,170.41074029773856,2.31291126245091,40.16153009486185,49
176.86166857046507,176.86166857046507,52.27346269977244,20.697858728139934,170.77358201127623,170.77358201127623,-0.7430200708653918,36.292545856757066,50
178.06136240421066,178.06136240421066,17.26134173165967,28.684495423003288,172.5996334268022,172.5996334268022,-5.476438173214948,34.143429291449124,51
173.8845792483093,173.8845792483093,-127.25913015595397,-17.703034561672023,178.6144372632797,178.6144372632797,-74.88996105148685,8.449965348003404,52
171.7803173868736,171.7803173868736,-111.91405569476001,-8.617092707216884,179.5422935617287,179.5422935617287,-78.0994865641228,6.266420198616547,53
176.2334073935934,176.2334073935934,-78.50379907050478,7.068782898097713,177.2820671513078,177.2820671513078,-26.27037465910665,25.81904629665199,54
178.01111948830606,178.01111948830606,-59.9331809523061,10.408423949376932,172.98772070435913,172.98772070435913,-16.61202872251406,22.099149106490167,55
177.41308771508923,177.41308771508923,-4.530423169272819,14.238436515502062,173.39589009736224,173.39589009736224,-13.373474537324666,18.40140060575953,56
174.43848489078778,174.43848489078778,-25.849375186831598,10.877584090765247,174.38465454255754,174.38465454255754,16.316176855296792,16.755039723612974,57
175.440159478459,175.440159478459,-88.3709999368384,2.1109017749211914,175.15363185421634,175.15363185421634,39.386187724176146,11.954271288529549,58
173.42306866652387,173.42306866652387,-56.17275798864952,8.26743732615014,175.47761688190172,175.47761688190172,-12.304266398573825,16.825721040322144,59
178.64020203996154,178.64020203996154,-112.06114539145464,-8.96628535760249,175.2691313151806,175.2691313151806,71.76865456806456,9.837265603546083,60
176.36441334167355,176.36441334167355,7.327031666354744,16.847267629702266,176.9733091320165,176.9733091320165,-105.31431541599022,-3.899110268767707,61
176.21118405363217,176.21118405363217,4.620298060256228,17.101497165308228,177.28524010153185,177.28524010153185,-96.16141089579479,-0.9695241500055402,62
175.7529935867757,175.7529935867757,-23.423001838418887,12.246413648647154,175.11977287340693,175.11977287340693,44.544820530048476,13.329868032742626,63
173.5954898598674,173.5954898598674,-25.530534244603963,12.950412260068694,175.73282398695952,175.73282398695952,28.530873337104175,17.4453977585674,64
176.99438926347332,176.99438926347332,-6.0224719538494575,12.210381209119035,174.5592210838428,174.5592210838428,29.711316749194854,14.707728973195183,65
176.11300432905455,176.11300432905455,-8.38294590984492,12.663154408313368,176.0754936693808,176.0754936693808,18.192131125882714,16.14671378545202,66
176.55055894531924,176.55055894531924,-17.620436262344093,10.586165570573083,176.0479606786138,176.0479606786138,25.130558284484596,13.554706978717194,67
177.51450531609828,177.51450531609828,71.40887620521501,4.789527057170399,175.08534810236466,175.08534810236466,52.69206721116758,9.99269037358143,68
177.39263440558676,177.39263440558676,5.364430594761286,12.47149490488418,174.54348759362307,174.54348759362307,2.700903821251391,16.463387521908025,69
178.47813437777438,178.47813437777438,-2.37019882446993,15.089271619432374,172.90538312796215,172.90538312796215,9.88516714937244,18.98737472750252,70
176.29471053765658,176.29471053765658,-52.350184020740606,10.928124063261972,174.37869477350546,174.37869477350546,-1.3912976765685228,20.314150752752248,71
174.12843639978607,174.12843639978607,-87.5027522595624,3.087439102404546,173.2840826364336,173.2840826364336,-25.58675940282359,20.932552661352407,72
173.60446666381597,173.60446666381597,-77.65355617182638,7.976558965436512,174.01980393155813,174.01980393155813,-26.605873851569388,26.712859305450003,73
175.5064756754958,175.5064756754958,-18.968699726846232,24.152266581312958,175.36201657712198,175.36201657712198,4.403317089953038,29.956129817215714,74
175.1318484547106,175.1318484547106,-10.354407401479465,26.49942156609896,176.42344019437792,176.42344019437792,67.21395291692528,14.15173459208096,75
175.4459690999865,175.4459690999865,94.27883305366932,-1.2611218263465478,178.41900857542458,178.41900857542458,122.18717129373378,-19.437401020037747,76
173.27781190621167,173.27781190621167,21.780858219309966,27.550200310464916,178.94374439468706,178.94374439468706,68.66453904486576,13.806375564311383,77
173.8730865359708,173.8730865359708,28.01058547458511,26.665266072983556,176.3754462463219,176.3754462463219,56.3110258790815,21.251430230741402,78
172.05313396372014,172.05313396372014,46.7439248329001,21.843634520841526,177.89265005872537,177.89265005872537,47.35685343177879,24.304586064069387,79
170.7100221654689,170.7100221654689,46.66424394960924,22.159667868564096,179.64555536036065,179.64555536036065,6.7522339806171,33.32271099025809,80
172.24232661957882,172.24232661957882,43.820127987142065,22.5430805931269,177.2368142504553,177.2368142504553,24.96021847501066,31.117460196343476,81
174.00815850867994,174.00815850867994,51.21249538945678,20.25911489810073,177.50586922725802,177.50586922725802,44.08216885505387,24.92637495491862,82
172.47349243967858,172.47349243967858,55.707688317257166,20.262031214016808,178.44175663095467,178.44175663095467,122.55181045055525,-19.20879012318279,83
173.37147284054328,173.37147284054328,46.85005859187028,22.177957236084936,179.03061905901714,179.03061905901714,21.521718542020977,31.06676381739267,84
173.0899999164636,173.0899999164636,79.76458567107122,8.261636066357626,177.96852856635127,177.96852856635127,139.42516083381747,-23.803815176025207,85
174.8614374781835,174.8614374781835,53.15073434473832,20.166803985249537,178.9530979831299,178.9530979831299,142.52167846911163,-26.013883816206192,86
176.35567005396226,176.35567005396226,61.55294119952256,15.459711992934693,177.4639158220976,177.4639158220976,61.44978986231349,16.415138004556308,87
