frame,n_cams_used,mean_spacing_err_mm,max_spacing_err_mm
3,2,0.2325153590435547,0.6332358146394212
4,2,0.23788058687555447,0.6642037691990365
5,2,0.23856802235642569,0.6168758158531031
6,2,0.24148373325668512,0.7891085972299462
7,2,0.265894632754102,0.612334472711036
8,2,0.23121528662500143,0.6107614707922954
9,2,0.2452435741663087,0.729846204688897
10,2,0.20676158791428564,0.6079312986688352
11,2,0.2352000157233416,1.0487921356369458
12,2,0.24114614820018893,1.0381456169038448
13,2,0.30855375596125095,0.713029284550408
14,2,0.17803115801185931,0.5663644173700793
25,2,0.16093924474470772,0.583839594351751
27,2,0.33701940810728637,0.8342094030046182
28,2,0.3463164753773539,0.7365614424609916
29,2,0.30878696225539465,0.8065188915238122
30,2,0.3370587780587148,0.9658991124291694
31,2,0.30881840784358516,0.6183847571037439
32,2,0.30041213552784723,0.8372498644246205
33,2,0.3089444272360127,0.7875080793991879
34,2,0.3026057610816615,0.8786631229639325
35,2,0.2995253879081709,0.8431303109906128
36,2,0.22565756588029684,0.6039801892369079
37,2,0.3122085640425954,0.7468746882761876
38,2,0.32152444179863543,0.8449258155079804
39,2,0.32204631027564184,0.7116601617186934
40,2,0.37741247905670167,0.8029179128875366
41,2,0.32777205407033017,0.7386349150509536
42,2,0.3343185491406457,0.6524512221442423
43,2,0.3780238182065171,0.6649893098131521
44,2,0.3646869871207509,0.7396096263147418
45,2,0.36364381666067724,0.6063808489220994
47,2,0.18826418209590481,0.6150396606440858
58,2,0.2768231553144123,0.5990456560512579
69,2,0.29448464021992843,0.736869054423897
80,2,0.26188740763210083,0.6273992867749968
91,2,0.22822570556326985,0.548840235125879
99,2,0.36994485317951836,0.7323141113909983
100,2,0.3399963854591917,0.7343551937778158
101,2,0.3196285458922947,0.7588867661800294
102,2,0.2476530331068208,0.7364311126869666
103,2,0.32646554799726024,0.8884351323622321
104,2,0.3314985842903138,0.8026133660812909
105,2,0.32208283693762,0.6629922444723706
106,2,0.318455962989972,0.7181181533796842
107,2,0.3135868711893992,0.644850577102795
108,2,0.30754951766721034,0.7565107109008158
109,2,0.3079847640590155,0.6557918238718554
110,2,0.3043699606984189,0.6571607557091831
111,2,0.2996724548697114,0.5962296440355542
112,2,0.3112433328017398,0.703078583636628
114,2,0.24920164482911808,0.5688669959358281
115,2,0.29883605815752606,0.601901673855796
116,2,0.2902163302054723,0.6815190559177169
117,2,0.2917163538857498,0.6384132671352211
118,2,0.28298328328145234,0.6754086596163604
