frame,source_cam,target_cam,mean_px_err,n_corners
0,0,1,22.58087265679737,14
1,0,1,23.602965112268805,11
2,0,1,21.617484784461542,9
113,0,1,21.607383026842868,16
134,0,1,22.527710499620916,63
135,0,1,19.72334472775431,61
137,0,1,22.07770187536098,60
138,0,1,25.42645688678051,60
139,0,1,22.37535920122967,57
140,0,1,22.95141959193502,63
141,0,1,23.2500802505727,63
142,0,1,23.598898711626482,63
143,0,1,24.71297205864499,63
144,0,1,24.850650726181744,63
145,0,1,24.87900743462814,63
146,0,1,25.15873536582359,63
148,0,1,25.076230578967568,63
149,0,1,26.347681047901435,63
150,0,1,25.642765590865675,63
151,0,1,26.70452900137797,63
152,0,1,28.159038298959693,57
153,0,1,28.286283250553844,49
154,0,1,28.42676447208605,49
155,0,1,28.86924662918187,44
156,0,1,29.045251232769715,45
157,0,1,29.07058673882315,32
159,0,1,28.387246609529452,22
160,0,1,28.04374877824398,10
161,0,1,26.991214902198085,6
162,0,1,29.864469969909642,2
213,0,1,24.163202048995583,6
224,0,1,21.99996000002777,16
225,0,1,22.894188907822368,22
235,0,1,24.855625279392985,1
236,0,1,23.845686875708076,43
237,0,1,23.942581253266944,2
238,0,1,23.53507473768279,2
239,0,1,22.190438917969935,4
240,0,1,21.869622046716923,4
241,0,1,21.462985646716728,5
242,0,1,20.247669782309444,8
243,0,1,20.48489255232257,11
244,0,1,20.85496582665747,15
245,0,1,22.211096830038567,27
246,0,1,21.797166162928303,30
247,0,1,23.24836220048461,48
248,0,1,21.97962870307066,36
249,0,1,21.840221782932794,40
250,0,1,21.845233888347742,52
251,0,1,21.80400780794792,56
252,0,1,21.381374994244727,56
253,0,1,21.368017797101274,59
254,0,1,21.215723797270407,62
255,0,1,21.546104054591552,59
256,0,1,21.00219844434062,62
257,0,1,20.985859081977523,63
258,0,1,22.48736370264482,58
259,0,1,21.281454693373178,63
260,0,1,20.87401559308039,63
261,0,1,21.813201256885574,63
262,0,1,21.439322855868248,63
263,0,1,20.938120506352753,63
264,0,1,21.17357987783695,63
265,0,1,20.757366637399052,63
266,0,1,20.518718004900855,63
267,0,1,20.666665727988182,63
268,0,1,21.662490823685676,63
269,0,1,23.435653843240708,55
270,0,1,20.23840943493979,63
271,0,1,20.134922338024143,62
272,0,1,20.247569415554874,63
273,0,1,20.22827096960317,63
274,0,1,20.33840591569913,63
275,0,1,20.023573078270726,63
276,0,1,19.967343471065117,63
277,0,1,23.361992747391596,57
278,0,1,24.40157544948678,62
279,0,1,24.934934394753302,58
280,0,1,25.610713286819692,49
281,0,1,26.69404419679059,45
282,0,1,20.892098266678186,17
283,0,1,27.001133279458614,33
284,0,1,28.224424598712446,11
293,0,1,21.79241006502004,16
304,0,1,20.990088454815428,15
315,0,1,21.22854234109021,16
322,0,1,28.961654766529325,15
323,0,1,26.36312866486545,35
324,0,1,24.483606766845856,46
325,0,1,24.487742427950902,52
326,0,1,20.72741787841697,25
327,0,1,23.243119096301484,60
328,0,1,22.368727702537416,63
329,0,1,22.391430223001603,63
330,0,1,21.89519536064931,63
331,0,1,21.930765393381968,63
332,0,1,21.8209091152626,63
333,0,1,21.724947595732907,63
334,0,1,19.232941946670362,63
337,0,1,19.78729576795934,29
348,0,1,20.9471533430538,37
359,0,1,22.76669840269208,10
367,0,1,19.33954146667914,63
368,0,1,19.528707999717316,63
369,0,1,18.929750897767395,63
370,0,1,18.955993191597994,63
372,0,1,18.617229605520752,59
373,0,1,18.42431390807169,63
374,0,1,18.909211983354677,63
375,0,1,19.04724760447055,61
376,0,1,19.114154432184975,63
377,0,1,18.263795926827626,63
378,0,1,19.01567212552371,59
379,0,1,18.3306161993998,59
380,0,1,19.383806763851474,57
381,0,1,18.957515196977315,61
383,0,1,20.122646892170945,51
384,0,1,18.93329524146856,59
385,0,1,19.919341195821445,52
386,0,1,19.474650427076767,53
387,0,1,19.33511084628744,53
388,0,1,18.724214344444242,57
389,0,1,19.66383309522231,47
390,0,1,18.940893837438722,55
391,0,1,19.98128519094189,55
392,0,1,19.69162710658376,45
393,0,1,20.581685027329353,63
394,0,1,21.604989888707617,40
395,0,1,21.116798025389592,39
396,0,1,21.182379868963853,41
397,0,1,19.653527812422322,41
398,0,1,19.47495071011716,44
399,0,1,19.269725551826113,45
400,0,1,19.047670964614227,45
401,0,1,21.084101083155314,43
402,0,1,19.518555786500777,40
403,0,1,20.56580944786197,44
404,0,1,21.60593656227448,63
405,0,1,19.999642879464467,44
406,0,1,20.629892242325898,46
407,0,1,21.01265689766595,45
408,0,1,19.496104621433254,49
409,0,1,19.691960982701143,44
410,0,1,20.221172148737068,45
411,0,1,20.607390839255544,42
412,0,1,19.936256558929603,46
413,0,1,20.954837386107368,47
414,0,1,19.17832492480875,46
415,0,1,17.725205204982768,63
416,0,1,19.856599700510795,44
417,0,1,20.88819055570572,42
418,0,1,20.238065484819522,47
419,0,1,20.779049542520767,34
420,0,1,21.007729714321815,39
421,0,1,21.02972956514936,33
422,0,1,22.306532012895133,27
423,0,1,22.78336373553012,28
424,0,1,23.281979990950923,21
425,0,1,27.44999101126993,6
426,0,1,21.494915334213115,63
437,0,1,21.80994432018389,63
448,0,1,18.967422634938888,63
459,0,1,21.815654409646474,63
470,0,1,22.48163500725734,16
471,0,1,22.061683219472055,63
482,0,1,22.149803147208427,63
493,0,1,22.460743531931428,63
504,0,1,22.538567654946316,63
515,0,1,22.518520045917242,63
526,0,1,22.970046002437147,63
537,0,1,22.909479394326326,63
548,0,1,23.900677706486867,63
559,0,1,23.664516532006107,63
570,0,1,24.516003229783692,57
581,0,1,22.640079596318365,13
582,0,1,25.569655834187117,52
593,0,1,25.721006383365328,50
604,0,1,26.579620685879306,43
615,0,1,26.86868632833832,40
626,0,1,27.67207792301631,36
637,0,1,27.927402064379613,37
648,0,1,27.71105221945242,36
655,0,1,35.17309857895808,3
656,0,1,35.290120249899886,20
657,0,1,34.65723118282984,22
658,0,1,32.31125268157578,27
659,0,1,28.075550418214277,37
660,0,1,30.457562715304583,31
662,0,1,27.895287410716502,31
663,0,1,26.378685669500086,38
664,0,1,26.049700527009684,36
665,0,1,24.74411282421721,39
666,0,1,24.18254379886839,43
667,0,1,24.787100005266232,43
668,0,1,23.83659889556751,45
670,0,1,28.98899202722416,28
681,0,1,26.130332233176414,6
692,0,1,22.263463815161934,9
803,0,1,21.319972819631495,10
810,0,1,19.684947022732935,63
811,0,1,23.43575010290531,63
812,0,1,18.86152882223453,63
813,0,1,19.002879627321686,63
814,0,1,19.095331873850558,63
816,0,1,19.45079347434593,63
817,0,1,19.617902021709575,63
818,0,1,19.940388304307717,63
819,0,1,19.972637953214345,63
820,0,1,20.15151573361172,63
821,0,1,20.373877065536696,63
822,0,1,20.40399849988295,63
823,0,1,20.337340400638457,63
