frame_idx,retval,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,p_error
121,True,-0.37756127677560214,1.2986378018053486,1.339124152366744,0.10057183221559939,-0.0797265069765131,0.48981580952610354,0.741754949092865
122,True,-0.3595837166989017,1.2392614804047009,1.3529736240730759,0.10071441735162925,-0.08138134525431108,0.49488626462720975,0.5180822014808655
123,True,-0.343865676810157,1.2031205250548584,1.3513972816189395,0.09874889437069738,-0.08520661529476241,0.4961242438567726,0.6098037362098694
125,True,-0.3301880920617593,1.1742174538543524,1.3447834647458612,0.09513831823626703,-0.08911882682515851,0.5013282655068116,0.5824447274208069
126,True,-0.2962829948464294,1.1401123120467078,1.3422872378611135,0.09098684427810758,-0.09646662877498223,0.50230586664584,0.6282561421394348
127,True,-0.2501430941018188,1.093844260200006,1.3424995379134526,0.08553868649653705,-0.10606549147480443,0.49996319768156144,0.43731918931007385
128,True,-0.2079832879510273,1.0512151783908097,1.3386024440463042,0.07937651798566883,-0.11530569106781233,0.4986001424902819,0.4371252655982971
129,True,-0.1679452892975486,1.0113701605663712,1.3352134275525624,0.07372114074729041,-0.12337289246625321,0.4968953854928215,0.3650062680244446
130,True,-0.1473305219687084,0.9729906244806232,1.3394284628782036,0.07081816695230998,-0.12825655313223916,0.49739758843177756,0.3321632742881775
131,True,-0.13565274697925986,0.9170041878079688,1.3537273570593598,0.06925337678976119,-0.13134548735498108,0.5009310748369122,0.3213684558868408
132,True,-0.1280303323431013,0.8725099281050321,1.3667732394081984,0.0685155534397658,-0.13273540737029432,0.5035996782002894,0.30450206995010376
133,True,-0.10870587763549008,0.8223678235577325,1.374594298195034,0.06632506411758946,-0.1354454327140169,0.5048481202990928,0.2789505124092102
134,True,-0.09696776453963872,0.8042768805766374,1.3750726120335994,0.06486719728902313,-0.13695242732511487,0.504837574652413,0.28093451261520386
136,True,-0.07215967815648759,0.7696555303279277,1.37531506611024,0.06179131493443562,-0.1396940497998679,0.5037727229730501,0.2947979271411896
137,True,-0.05459361871579159,0.7467055343876478,1.3743344401014985,0.059302262690311545,-0.14171724851395184,0.502734367597567,0.2844548523426056
138,True,-0.042364173700301364,0.7361835510184085,1.3725180002947737,0.05761728106334243,-0.14318176250386858,0.5016286168834017,0.2832963168621063
139,True,-0.024590484492014036,0.7233867671427567,1.3666017956145973,0.05500734267349345,-0.14559554723525817,0.500376355654149,0.2895241677761078
140,True,-0.014509285176448674,0.713054253458941,1.3600484724175592,0.053045649182471906,-0.14767531039048837,0.5001248067486408,0.29277729988098145
141,True,-0.004820816797910021,0.703400006558759,1.3446078887515955,0.049801433510590146,-0.15161813304438818,0.5012180440215465,0.3081047534942627
142,True,0.004964445942444565,0.7060830038137763,1.3230509652116482,0.0460966266392605,-0.1557898387923971,0.5025557215786042,0.28809094429016113
143,True,0.018287553715133433,0.7073943880120723,1.3090010655063546,0.04346241617722007,-0.15803471473246092,0.5014577621664297,0.2929682731628418
144,True,0.04459210627192291,0.7108045016715724,1.2853149828069987,0.039031013951604555,-0.1609227203416798,0.4984831917758348,0.30566197633743286
145,True,0.06812417396948663,0.7122049574437316,1.2591106810422055,0.03438157650518717,-0.16408102525434087,0.4959946159451407,0.3216332197189331
147,True,0.08153013674160128,0.7121812768851793,1.2423558785724877,0.031601484699789635,-0.1663491163248105,0.495219455007976,0.34107705950737
148,True,0.09686045513763043,0.7104653509265837,1.2236897521477805,0.029101853150062924,-0.1689565671955189,0.49435290245233604,0.3457270562648773
149,True,0.10644853862552241,0.7097841205900477,1.2150833643822212,0.028555601621138182,-0.169913142516908,0.49376766934074867,0.35141491889953613
150,True,0.118045486708655,0.7099608103377181,1.2054873501964185,0.02896217962334789,-0.1700832155347221,0.49301323358026106,0.35523030161857605
151,True,0.1224785882508794,0.7066332646368242,1.2018356985932637,0.03014945964259189,-0.16956726597544347,0.49278323362810517,0.35451361536979675
152,True,0.12878278906813945,0.7103685369572044,1.19573396668105,0.03253879744466967,-0.1682555803267695,0.4922268848208913,0.35616210103034973
153,True,0.13337087556301788,0.7156069990169905,1.1919878411736222,0.03438036449964722,-0.16732749141427253,0.4914931937121393,0.3562072515487671
154,True,0.14858947666162117,0.7347931443478539,1.1826947489485249,0.03787346363161158,-0.1663161355083999,0.48852149547523477,0.4040660560131073
155,True,0.16937739795954163,0.7592711419635317,1.1697687339837277,0.039664291601244496,-0.16685794879076907,0.4846753157602065,0.38202333450317383
