base_x,base_y,base_z,base_error,base_ncams,base_score,thumb_CMC_x,thumb_CMC_y,thumb_CMC_z,thumb_CMC_error,thumb_CMC_ncams,thumb_CMC_score,thumb_MCP_x,thumb_MCP_y,thumb_MCP_z,thumb_MCP_error,thumb_MCP_ncams,thumb_MCP_score,thumb_DIP_x,thumb_DIP_y,thumb_DIP_z,thumb_DIP_error,thumb_DIP_ncams,thumb_DIP_score,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_error,thumb_tip_ncams,thumb_tip_score,index_MCP_x,index_MCP_y,index_MCP_z,index_MCP_error,index_MCP_ncams,index_MCP_score,index_PIP_x,index_PIP_y,index_PIP_z,index_PIP_error,index_PIP_ncams,index_PIP_score,index_DIP_x,index_DIP_y,index_DIP_z,index_DIP_error,index_DIP_ncams,index_DIP_score,index_tip_x,index_tip_y,index_tip_z,index_tip_error,index_tip_ncams,index_tip_score,middle_MCP_x,middle_MCP_y,middle_MCP_z,middle_MCP_error,middle_MCP_ncams,middle_MCP_score,middle_PIP_x,middle_PIP_y,middle_PIP_z,middle_PIP_error,middle_PIP_ncams,middle_PIP_score,middle_DIP_x,middle_DIP_y,middle_DIP_z,middle_DIP_error,middle_DIP_ncams,middle_DIP_score,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_error,middle_tip_ncams,middle_tip_score,ring_MCP_x,ring_MCP_y,ring_MCP_z,ring_MCP_error,ring_MCP_ncams,ring_MCP_score,ring_PIP_x,ring_PIP_y,ring_PIP_z,ring_PIP_error,ring_PIP_ncams,ring_PIP_score,ring_DIP_x,ring_DIP_y,ring_DIP_z,ring_DIP_error,ring_DIP_ncams,ring_DIP_score,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_error,ring_tip_ncams,ring_tip_score,pinky_MCP_x,pinky_MCP_y,pinky_MCP_z,pinky_MCP_error,pinky_MCP_ncams,pinky_MCP_score,pinky_PIP_x,pinky_PIP_y,pinky_PIP_z,pinky_PIP_error,pinky_PIP_ncams,pinky_PIP_score,pinky_DIP_x,pinky_DIP_y,pinky_DIP_z,pinky_DIP_error,pinky_DIP_ncams,pinky_DIP_score,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_error,pinky_tip_ncams,pinky_tip_score,M_00,M_01,M_02,M_10,M_11,M_12,M_20,M_21,M_22,center_0,center_1,center_2,fnum
-0.16841915330722637,0.3091102324747151,0.44230969923168584,271.8387510139464,4.0,1.0,-0.15576735285199245,0.3019620793732514,0.46520474697816705,224.93843014888614,4.0,1.0,-0.14232033674267527,0.29945415026842703,0.48814167716802287,226.6543664128585,4.0,1.0,-0.11217612825566368,0.3123829463334738,0.5245614264762787,403.93634896191526,4.0,1.0,-0.009771268415130981,0.34633688959175013,0.62132846357218,3418.8999974386065,4.0,1.0,-0.2028334368886027,0.2350184998275016,0.46886449884616027,152.98657150796606,4.0,1.0,-0.19366430486360056,0.23048327012793024,0.4894852361352319,168.8605322468693,4.0,1.0,-0.18123038434781724,0.218316127446775,0.5066593134309519,186.2711948942773,3.0,1.0,-0.16718282012947877,0.20546693893443901,0.512070004457285,173.71709903243422,3.0,1.0,-0.19901450366048548,0.2445587643120973,0.47574959430721075,149.67931409421527,4.0,1.0,-0.182688859073343,0.22996166828653794,0.4983324585398778,180.75244426972304,3.0,1.0,-0.16918767944082233,0.2190701743843999,0.5010264663368016,166.8019374285038,3.0,1.0,-0.10898616732203427,0.2044237588878382,0.44045195171119317,182.7585793982144,2.0,1.0,-0.1923297319949855,0.2454734444136462,0.4680110958371994,166.53283558168914,3.0,1.0,-0.18003033674620716,0.23671901311479418,0.4860146243224237,165.01161469664387,3.0,1.0,-0.1659560783557737,0.22440535117999857,0.4893850125558633,151.06366425215484,3.0,1.0,0.0170367133059451,0.3697328336609623,0.6571534620885555,52760.24308544279,2.0,1.0,-0.18912330962169074,0.24882012451361216,0.4589323449325408,149.7502802847635,3.0,1.0,-0.17979501771896703,0.24132099825393455,0.47088033145213914,147.9336890675712,3.0,1.0,-0.1694972609684649,0.23140213526195522,0.47539038979845405,140.11727354300953,3.0,1.0,-0.03222992194026802,0.35371315222908584,0.5785076173197298,1203.2269848703188,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-0.20646531520710942,0.3343887913050992,0.43619258303288005,184.44735680680347,3.0,1.0,-0.19766601817222898,0.33195082751378985,0.4614800358478817,203.58906922321594,3.0,1.0,-0.18610892704639553,0.3222876214669268,0.48458777192842645,197.81126649428575,3.0,1.0,-0.17753321935267022,0.32365178710843484,0.5128124100248941,198.62760574011205,3.0,1.0,-0.16150883637720562,0.3239353907895356,0.5520568645861625,202.5847379691461,3.0,1.0,-0.2047672332837253,0.22626839183300784,0.4588911353716686,195.58255142858127,3.0,1.0,-0.19465916417835122,0.22012900192973858,0.48432187300345886,197.88043197172465,3.0,1.0,-0.182707443538017,0.21131030213306887,0.4934272744702858,188.79727541016572,3.0,1.0,-0.015246186709322785,0.49530917944476666,0.8324020741296075,729755431.1452106,3.0,1.0,-0.1993106472706946,0.23124706971104608,0.46559851016700954,186.264724430931,3.0,1.0,-0.18545147761481512,0.22089701595418312,0.4852773476657234,180.12706590468704,3.0,1.0,-0.03729099340388196,0.5247615491952046,0.7971960229921886,30107332.517722826,3.0,1.0,-0.048932659998020815,0.2937483959054299,0.5350442779411596,228.6791316739649,2.0,1.0,-0.19582640325411946,0.2367866200160997,0.4573087992847742,166.71812104693893,3.0,1.0,-0.18312493843045002,0.22648415940027466,0.4735204702153552,163.65101104039266,3.0,1.0,-0.12802439625825485,0.38379354972711044,0.5898819392227094,338.4604979067471,3.0,1.0,-0.06572269722972887,0.2819595281208854,0.5049310588950797,193.25809187946868,2.0,1.0,-0.147759862441793,0.449243769608131,0.5829326397225154,653.7764094466814,3.0,1.0,-0.14202312623128502,0.41739609903064556,0.5794367068709896,405.52324126037684,3.0,1.0,-0.14691728338360593,0.3495742705880186,0.5401374078938768,181.51771237716324,3.0,1.0,-0.07825757443876064,0.28830147460387595,0.4880590318764797,182.00033876650235,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
-0.20761924241486993,0.32062154098836115,0.41823885445510556,182.19223616199451,3.0,1.0,-0.2002106512387436,0.3144111886835679,0.44079056015668977,199.51366523627465,3.0,1.0,-0.18872093618998617,0.3037372453309181,0.4631199008964767,194.45654404013177,3.0,1.0,-0.1814316978978856,0.3009980187892243,0.4882991858389969,192.63889307559643,3.0,1.0,-0.16801858173275108,0.29676111818682044,0.5234763950717347,192.8755955271646,3.0,1.0,-0.11245868552524314,0.519545840067105,0.6912062583313049,37926.159680029414,3.0,1.0,-0.19714587564824648,0.21569609418209765,0.47272851622261475,196.15243784213556,3.0,1.0,-0.09540217568426762,0.4653182271060518,0.7082402181652412,32424.93050038412,3.0,1.0,-0.14063662773298516,0.3130429219691984,0.5665740042071504,216.4644416775559,3.0,1.0,-0.20130258630302536,0.2276770816928199,0.4541219570913185,186.84313238302443,3.0,1.0,-0.082053025178174,0.5138992987978763,0.7376302329119263,283309.19005157,3.0,1.0,-0.14240530625860157,0.3416910805825763,0.56483753302717,215.40329959764685,3.0,1.0,-0.07006794204963898,0.2638202556226999,0.486759449227318,192.62125601659463,2.0,1.0,-0.13971764326221495,0.4686964835989908,0.607325519248921,1566.0736703544835,3.0,1.0,-0.13892123936774808,0.41272368817482324,0.5920871508927475,478.88690571759645,3.0,1.0,-0.14818629769427796,0.3202242762750255,0.5300595307357019,183.95312245734794,3.0,1.0,-0.0766321495144082,0.26213379069608644,0.47327123621238776,180.09923204579022,2.0,1.0,-0.16660048251182702,0.382373881303899,0.5220688353821941,201.30915032159558,3.0,1.0,-0.16030776323296597,0.3543104558269683,0.5217935306354853,188.80899178205922,3.0,1.0,-0.1557048418129107,0.3172365152741141,0.5074700442478368,168.6325775473803,3.0,1.0,-0.08586560192677062,0.271703353854923,0.46284861899722435,173.4001146456391,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
-0.21043024023585824,0.25064675498802125,0.4064213546322681,175.08454411534987,3.0,1.0,-0.19762675562708024,0.227304704470985,0.4206981572846875,187.79591203000768,3.0,1.0,-0.18073915367957805,0.2139590248671317,0.44453375034417975,180.1886557159177,3.0,1.0,-0.16777155205628563,0.20514799032386666,0.46720822334114254,175.15198571164626,3.0,1.0,-0.15296577513274867,0.19050048257319452,0.4957782237243672,161.9117430358206,3.0,1.0,-0.17688649472172044,0.2130964202731941,0.4696438041686744,199.4069368202314,3.0,1.0,-0.1612660746630523,0.20060397659793522,0.49683168045695913,194.54204410811576,3.0,1.0,-0.15115867421355603,0.19416211548984025,0.5121736615497049,179.0882844229096,3.0,1.0,-0.14168632578331386,0.18851096614877844,0.5234030917546767,161.59919910674944,3.0,1.0,-0.17331769950205123,0.22137917421357176,0.48152721728722553,184.47392402451885,3.0,1.0,-0.15760780434257934,0.2087238453817225,0.5060516392571106,167.91100162264192,3.0,1.0,-0.14862522371343598,0.20377566015208046,0.5141153750007654,150.55534882025572,3.0,1.0,,,,,,,-0.1751419422984594,0.23394647815429584,0.4792384746169707,163.39858001258975,3.0,1.0,-0.16083740338923,0.2198742166371233,0.49799594721722024,151.37157772679168,3.0,1.0,-0.15095515317440109,0.21313615392724392,0.5049165025720189,134.3716439072554,3.0,1.0,-0.07053980850399347,0.195383642528014,0.5119296722526858,142.54351829306387,2.0,1.0,-0.17606810662617398,0.24263854660783704,0.4749702593785743,145.3249586030279,3.0,1.0,-0.1643509398026203,0.23047300781240246,0.484725926588333,137.2468825156378,3.0,1.0,-0.1556593909997222,0.22263307831240173,0.4903504337144032,126.70939655285144,3.0,1.0,-0.08115112694935646,0.20472566463231626,0.4984903734155595,133.55101818943845,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
-0.1537217063929671,0.32975487997918806,0.38743204834347456,180.83842066251495,3.0,1.0,-0.1411984412549176,0.31865597565535997,0.40569413898751794,193.23595859932604,3.0,1.0,-0.12833478481319652,0.3022052878293474,0.4280831168628977,187.42656688984894,3.0,1.0,-0.11841205520231936,0.29146708967207,0.45107533497090563,184.88595578168508,3.0,1.0,-0.10594162856362432,0.27677376102096224,0.4824026070740018,179.66096599298962,3.0,1.0,-0.10196912825332508,0.36573484265563505,0.4983965161553438,219.45755537158084,3.0,1.0,-0.08196586576037666,0.3697762141771155,0.5442336118445026,299.4426502439857,3.0,1.0,-0.08807966430109822,0.31909064747453214,0.5240511229947071,200.84267849375047,3.0,1.0,-0.08863241161051355,0.2805866607099911,0.5091647075607556,179.79101855994406,3.0,1.0,-0.08872495652652151,0.3983873339624582,0.533402863719059,353.3813788015149,3.0,1.0,-0.08824758792517004,0.3459990282210326,0.530419054442984,204.31835382433488,3.0,1.0,-0.0924102175325735,0.2985294895113804,0.5059386720934314,173.4289763868912,3.0,1.0,0.00825018535055065,0.2410145459841363,0.45824349432848976,30.444142246404482,2.0,1.0,-0.1061825953092519,0.3692180186142384,0.4992948974849892,187.8168184663776,3.0,1.0,-0.10011453554506795,0.3322541293187454,0.5045938207552323,174.4284537606809,3.0,1.0,-0.09937222633529269,0.2944113235697756,0.4893689387644354,154.87978435569954,3.0,1.0,-0.004465240443237115,0.24463990835786711,0.4483301563430456,32.194898658379316,2.0,1.0,-0.1169025072104937,0.3480779624283876,0.4758849589963851,161.63885669697524,3.0,1.0,-0.1100977622019427,0.32369590858289243,0.4796978986545929,155.20828699942115,3.0,1.0,-0.01156018343942437,0.27097369656346393,0.44330258116507376,33.19148286263844,2.0,1.0,-0.01372032101625637,0.25258923460492355,0.4412517662343593,32.981459096807654,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
-0.15429685723125902,0.3255413951396464,0.3822012338685602,181.5153194144298,3.0,1.0,-0.14155413752327317,0.3120682798514205,0.39861625526808164,194.3164229336388,3.0,1.0,-0.12866099042688306,0.29496481111137385,0.4205126833129793,188.56202576233525,3.0,1.0,-0.1185592439814868,0.2841135371522623,0.44304147664213533,185.54018316527072,3.0,1.0,-0.10578029591213797,0.2689452596942872,0.4737877048603271,180.56630005060524,3.0,1.0,-0.1071587428842356,0.34301012373957324,0.4787425620929102,216.07459063309693,3.0,1.0,-0.0903865187132167,0.3390775392010442,0.5166216589609144,218.7040253261636,3.0,1.0,-0.0903895891388391,0.30417068770073735,0.5107063923787123,201.15767355621833,3.0,1.0,-0.08910415314919852,0.2727258566193082,0.5011626064445086,180.8668790414597,3.0,1.0,-0.09831251597687389,0.36590369321117144,0.5052153548154078,213.16564259066936,3.0,1.0,-0.09271126586715685,0.32527140402693955,0.511867130139939,194.2586278334877,3.0,1.0,-0.09323337966975782,0.28878703536850525,0.4964471518214257,174.47454393976355,3.0,1.0,,,,,,,-0.10965808799698544,0.3535395788132234,0.4858991888517363,183.70877450764326,3.0,1.0,-0.10185905416210987,0.3216393724333063,0.4949250112749239,175.15983923898793,3.0,1.0,-0.09995920231330738,0.2880249163711911,0.4826016723002438,156.02495856210922,3.0,1.0,-0.004736049841503557,0.24076867455950365,0.4428103771100359,32.234414268327164,2.0,1.0,-0.1182832024591425,0.34000114599140874,0.4682878085762222,162.60054763077622,3.0,1.0,-0.11113318956518578,0.3167147236518043,0.4730590801690138,156.6562732328045,3.0,1.0,-0.10687248253954199,0.293462154363673,0.4685898238723016,145.8665160933627,3.0,1.0,-0.01435110722626882,0.24911370682088696,0.43505917184180437,32.08776573261599,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5
-0.15577470820533998,0.3199011309172714,0.3746862531984387,183.55318308393126,3.0,1.0,-0.14399588283460432,0.3033884348270354,0.38873535315100327,197.0426019012374,3.0,1.0,-0.1306579220070868,0.2848719808646281,0.4087216460342269,191.8282356763522,3.0,1.0,-0.12055771524903228,0.273749499283023,0.43021470659680416,188.52715549926322,3.0,1.0,-0.10800814917124375,0.25509574263580087,0.4580181033994172,183.3384615471812,3.0,1.0,-0.11183800978791886,0.3229743761012389,0.4596248283612345,217.58638234772607,3.0,1.0,-0.10031245333489283,0.3074652290321356,0.48757271436082544,217.41888809155537,3.0,1.0,-0.09724332139862399,0.2794643311343426,0.48880908482068625,204.13541115917542,3.0,1.0,-0.09297491213806364,0.25366569778191056,0.4844493137922587,185.56243634037068,3.0,1.0,-0.10399920810852596,0.3421065192306218,0.48278766473344487,206.7890172508146,3.0,1.0,-0.09522890904314607,0.31198605027771403,0.49706321251299085,194.7720279178442,3.0,1.0,-0.09451954292856052,0.28200237388722893,0.48708113472615044,175.4827440037839,3.0,1.0,0.008355332356412688,0.22989057436915647,0.44923311610514194,31.247773161117433,2.0,1.0,-0.11145428327690579,0.34102473902537395,0.4726838248360023,184.41757696194804,3.0,1.0,-0.10128372721215435,0.31651197894071087,0.4854055370800288,175.65322013366782,3.0,1.0,-0.09997172489858869,0.28625589623205844,0.4754734764645937,156.23726547864268,3.0,1.0,-0.00420619856873429,0.23672033638706372,0.4438088486408513,34.01628356520965,2.0,1.0,-0.11859977899407109,0.3338686110962347,0.45968734959664925,164.10816576132999,3.0,1.0,-0.11082267277650232,0.3180077606879616,0.46903019139440216,158.25687300468576,3.0,1.0,-0.10768899896157288,0.2962618569201657,0.4659771167478458,146.66910117517946,3.0,1.0,-0.013771877634867466,0.24944211316029202,0.44042454093567834,36.82244666402869,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
-0.15508626504282463,0.31303563657269534,0.3690603671161396,184.54555750350735,3.0,1.0,-0.14414531106407424,0.2950486856579963,0.38171673732461103,198.59162192331107,3.0,1.0,-0.13132527160834057,0.27556748061769804,0.4018921368114322,192.97825568899165,3.0,1.0,-0.12079144692278225,0.26234779252249313,0.42338735877749556,189.6001105664643,3.0,1.0,-0.10790445009430362,0.242779334959497,0.4506159562542056,184.9374137117824,3.0,1.0,-0.11279344389415989,0.3062143976629885,0.4479604076839169,220.49307679142194,3.0,1.0,-0.10039343799017326,0.28870888864359595,0.4750932001545283,219.63498507506657,3.0,1.0,-0.09603346813295284,0.26504675803301053,0.478803156078631,205.31877704416283,3.0,1.0,-0.09186908651272215,0.24313800052173476,0.4760675226305894,185.65998167552107,3.0,1.0,-0.10532504435590104,0.3212113431161076,0.4691900001648388,209.30899324013555,3.0,1.0,-0.09463023410840155,0.2950551748788033,0.48613198378289135,196.84708936306697,3.0,1.0,-0.09267803017226879,0.27039652684053406,0.4795522986555626,177.67091326843808,3.0,1.0,,,,,,,-0.11057426874832617,0.3251303234335699,0.4637157536975039,187.07032459366908,3.0,1.0,-0.10079968891379842,0.3024030043082067,0.4774064116206439,177.91861590317214,3.0,1.0,-0.09911819607258877,0.27751154119405597,0.47048783115140363,158.4361206056715,3.0,1.0,-0.004028557153058085,0.23081964236815722,0.4435450277728998,36.64483486006625,2.0,1.0,-0.1163566639421009,0.3223152457292705,0.4540285521171294,166.7645486442283,3.0,1.0,-0.10864250826951694,0.308242646984138,0.46432455476261475,160.80881456779522,3.0,1.0,-0.10545278947773422,0.28950172322556295,0.46305327611728425,149.1981484431603,3.0,1.0,-0.011181076214131124,0.2436179767409865,0.44233382294417073,42.09055832982239,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7
-0.13979002436981092,0.2830062255910815,0.36645829757897047,155.50512136703924,4.0,1.0,-0.1305146131391101,0.262372879861842,0.37398536187111175,171.02344188918528,4.0,1.0,-0.1210354608498113,0.24399744345311664,0.3883390669213948,167.9795236222439,4.0,1.0,-0.11329797594842388,0.23161161586339168,0.40604256009081957,168.04537453806313,4.0,1.0,-0.10251026363058603,0.21505813478784783,0.4286641456202927,169.55804773810533,4.0,1.0,-0.09884628023985767,0.26192295329598364,0.4275682981159943,194.84228038248455,4.0,1.0,-0.09250414079269548,0.24230444361383274,0.4468806551032595,196.66427512947763,4.0,1.0,-0.09136896349201089,0.22454256460687497,0.4509090998626621,184.49783281103728,4.0,1.0,-0.0895239224663188,0.2070200565949935,0.44947341977325833,168.74514614911067,4.0,1.0,-0.09139770997889762,0.27158962885046345,0.4444930438588079,183.67835825752388,4.0,1.0,-0.08968532193247283,0.24564452878762427,0.4547321412764938,173.25842989095818,4.0,1.0,-0.0901974574650538,0.2282612536731799,0.45202141511721466,156.52451045305946,4.0,1.0,0.006875024864029088,0.19786707629781847,0.42350527864495313,33.20755418543498,3.0,1.0,-0.09752825502335041,0.2779387109015495,0.4421297399911712,161.6968994699447,4.0,1.0,-0.09414899681459427,0.2569084153450225,0.45255744542723425,155.10867358943298,4.0,1.0,-0.09574222097558843,0.23865143677817227,0.44976477293379796,137.9310345322959,4.0,1.0,-0.006889431061812111,0.2098915169220545,0.42702318121914945,31.37591593614677,3.0,1.0,-0.10493733440116922,0.2793573876020805,0.4362737725193366,142.75138616744613,4.0,1.0,-0.10135700170981013,0.26585598129789156,0.4444865473119663,139.12369333553693,4.0,1.0,-0.011688536351020027,0.24275577210601532,0.4244645058160859,31.59204180403275,3.0,1.0,-0.016725587820248647,0.2267996553991383,0.4222061203482494,33.580238645398694,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
-0.14319662942534062,0.2755609028043029,0.36313209759951354,163.2736155054935,4.0,1.0,-0.13264348524869854,0.25542993500150823,0.36949528383808733,174.14558015249133,4.0,1.0,-0.12103874778569484,0.23753085669687588,0.3839652862323481,166.8952563366116,4.0,1.0,-0.11319787754368285,0.22596389601999017,0.4016970287176667,160.45742263413692,4.0,1.0,-0.10367076508643493,0.20928810942193055,0.42427653502617924,154.41156004226661,4.0,1.0,-0.10443031373472915,0.25306874032041865,0.4204956675524424,189.56443580244962,4.0,1.0,-0.09894629759882335,0.23335031218401386,0.43910800357973306,186.87145396422017,4.0,1.0,-0.09678627741776702,0.21669454480180655,0.4439045888869854,173.13030945315194,4.0,1.0,-0.09442188013637753,0.20006727373577224,0.4448335260783589,154.3059862014093,4.0,1.0,-0.10077843012267224,0.26007858349349594,0.4354454601049975,178.393492846591,4.0,1.0,-0.0967016078121503,0.23540392757932654,0.4459544368626826,164.90784229622966,4.0,1.0,-0.09585362818005914,0.21880826049118438,0.4442019743379682,147.31434360950698,4.0,1.0,0.0024132330782151105,0.19006222143134707,0.42741883446404855,17.248517953565116,3.0,1.0,-0.10769297834887717,0.2654959349927617,0.4334391481230162,158.45027842139925,4.0,1.0,-0.10397682982021395,0.24313210853135755,0.44180394289558506,148.80604238395824,4.0,1.0,-0.008526462326172697,0.21634171968436394,0.42214837203590033,18.460335808098364,3.0,1.0,-0.014222137395513585,0.19833192964456936,0.4218804025918613,18.80979400290452,3.0,1.0,-0.1146715252665754,0.2667618756963367,0.42833987374606847,140.84390947799184,4.0,1.0,-0.1118914338920823,0.25055461360255504,0.43361811557441715,135.043100070045,4.0,1.0,-0.020999034061724264,0.22858574085807803,0.41482248674493843,20.487865331567715,3.0,1.0,-0.02525132424948042,0.21212100326475888,0.4134327667050918,22.73309494351938,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
