frame,n_cams_used,mean_spacing_err_mm,max_spacing_err_mm
3,2,0.11097803670177421,0.5062048125373912
4,2,0.11647854174441728,0.5626191807583183
5,2,0.10658913476217186,0.402216087091678
6,2,0.11084145294405769,0.3130585930316808
7,2,0.08350515426228847,0.2779246885803721
8,2,0.09332174301351555,0.27288459877261584
9,2,0.09258744948006499,0.2860316675231747
10,2,0.11668127670949108,0.32394811806678997
11,2,0.06719284066091413,0.2370442498208919
12,2,0.08261428681785513,0.3545537935178561
14,2,0.07520004479880203,0.18228462290941633
15,2,0.07135697177202045,0.3321293468087315
16,2,0.08628888034190053,0.27118549466420905
17,2,0.08531005138371181,0.2853099484111596
18,2,0.08392045777322499,0.3181723624871118
19,2,0.08263743888306287,0.2273098083588887
20,2,0.07521388010469994,0.232230558473559
21,2,0.078379551208089,0.22246241040122308
22,2,0.09108991073383411,0.43929429881184656
23,2,0.08415577503586258,0.25131523659365634
27,3,0.19262259826881084,0.6042458178024888
28,2,0.051632076238702224,0.056331189433579676
29,2,0.08424628289878597,0.15371512439182888
30,2,0.08761011220661848,0.2745476643004549
31,2,0.1405203076944501,0.7563339898104642
32,2,0.11794456646862914,0.3709101343042469
33,2,0.12001431185809773,0.46749454650305694
34,2,0.1391824982279458,0.6972938825681868
36,2,0.12129760946503912,0.6427331046719199
37,2,0.0948379901358374,0.5494093820011814
38,2,0.10727329501847471,0.8463309694758357
39,2,0.09114834291284823,0.463225945691266
40,2,0.09296394860286959,0.6089020448249889
41,2,0.08427225969567156,0.2991764463545904
42,2,0.1117607090189505,0.6879198213159999
43,2,0.07738232509938765,0.39312932016887303
44,2,0.09111581836750274,0.7105026452028685
45,2,0.09030969843511638,0.5103459066396581
47,2,0.07894150661204986,0.31629771602224854
48,2,0.12077670586645528,0.7612901676616219
49,2,0.12135684629025424,0.7921972819378009
50,2,0.14814123939133692,0.5233161082204494
51,2,0.24618770018970976,0.7806081720878044
61,2,0.29940883981939787,0.4049491569469363
62,2,0.16450146674970056,0.22874351804693174
63,2,0.15288079230867058,0.5828638016965905
64,2,0.10976432803509267,0.3910133272048456
65,2,0.11697135695043925,0.36447199915444484
66,2,0.133131909182619,0.5010029508344602
67,2,0.15581765289198243,0.43247446570296444
69,2,0.13304033193652756,0.5401930775605114
70,2,0.1191543122171237,0.45070956345251434
71,2,0.13532420680773966,0.4635458231771611
72,2,0.10083352779500705,0.5257755867643238
73,2,0.12405371682935185,0.3915667566954176
74,3,0.22939220893657777,1.0793860147442733
75,3,0.1745911892019889,0.6563475306365536
76,3,0.16736556625355142,0.8128602065851677
77,3,0.23611383978280664,0.9148710520703249
78,2,0.16930762569180605,0.5301031633073855
80,2,0.18459207552282117,0.6290997818997404
81,2,0.12730842622808367,0.4266683950650413
85,2,0.12360572150527382,0.45921358566437465
86,2,0.17104842207114124,0.6109826499932948
87,2,0.1491811103858842,0.6642451111767006
88,2,0.16512430587649404,0.46444007428020695
89,2,0.1761408381045122,0.6849659600901142
91,2,0.20145641434306,0.65168331492527
92,2,0.20535046957777442,0.7290823154145892
93,2,0.2722385772084577,0.5309830548275787
95,2,0.18664660999697233,0.5614925514926851
98,2,0.1741993185058376,0.35518014995352537
99,2,0.1683336108139505,0.42592629262431375
100,2,0.2675324175500883,0.8226561960734541
101,2,0.14004595968621505,0.33166114073985076
102,2,0.15289228450171258,0.3528878274146642
103,2,0.22803197565685648,0.40444488791719146
104,2,0.2671603514879791,0.7216647536446436
105,2,0.17472949773698435,0.3870643035155663
106,2,0.1726286117820483,0.4027714558760658
107,2,0.33439160074091157,0.8392091335605832
108,2,0.12541267810325477,0.2024218023318411
109,2,0.2379994512172754,0.43536619243960195
110,2,0.23152645886082035,0.5761162000588356
111,2,0.21463360297648992,0.5126409224821132
113,2,0.18004238372328935,0.48906953487683547
114,2,0.1485404337680185,0.424485080429568
117,2,0.17780325366419275,0.6071526098724509
118,2,0.18835257177930598,0.5143992304687608
119,2,0.18163683016751733,0.694824003951662
120,2,0.15921006407258198,0.38014095046682433
121,2,0.19316778709899676,1.1168272859399184
122,2,0.20228309790048846,0.6253141100880412
123,2,0.33979035363017474,1.5860653059043377
124,3,0.26431911443909145,0.9877728815076842
125,2,0.14320922379165527,0.388428869950299
126,2,0.25757767863724235,1.1173301321397848
127,2,0.23180242279447602,1.0859606573535747
128,2,0.09823544919728586,0.3147658841481278
129,2,0.20700816761991975,0.8400357230168471
130,2,0.19802446961747017,0.4304246544587532
131,2,0.13201715887283536,0.39041752460795487
132,2,0.13115019783540596,0.3686140221234695
133,2,0.19400110863060813,0.40896853732372285
135,3,0.22818770678152722,0.7451473511149616
136,2,0.2615357567496837,1.0826191081878476
137,2,0.39277879729908005,1.4056489277639965
138,2,0.3239679120868428,0.6651331231688415
140,2,0.24100592153787348,0.6026707839545189
142,2,0.218274480383637,0.4787176443172489
143,2,0.2853690224462873,0.4157444970021469
146,2,0.10822089345150117,0.31788193252184005
151,2,0.3849673217433928,1.686590195254776
152,2,0.33503604540558823,1.5252704039408378
153,2,0.3150541031483734,0.8230302687991936
154,2,0.2689738410167761,0.6959197602565935
155,2,0.3928330582545984,1.0116971913130546
156,2,0.24341903773830756,0.6151633541508148
157,2,0.0875394522674325,0.3034634450539836
158,2,0.20060781751972548,0.5278867471373399
159,2,0.17916439952095842,0.5397160435518522
160,2,0.45840122573596215,1.8176185421394098
168,2,0.10532968462146454,0.9939750219583703
175,2,0.09922642650341713,0.28438996812852124
176,2,0.10882144984259626,0.37387898636721817
177,2,0.09329661516657448,0.3894987208283608
178,2,0.11210097872871544,0.3670110243383304
179,2,0.08957121924882007,0.3137475220168877
180,2,0.13024379481308984,0.35803447662911825
181,2,0.12351623691754714,0.3773131847243233
182,2,0.15484585071961574,0.35913735819926085
183,2,0.18242645000252017,0.728822927539275
184,2,0.1550032127384381,0.4333857505523404
185,2,0.13621948864295771,0.5780325289767851
187,2,0.12852583392154912,0.33839018664768084
188,2,0.1326684965238771,0.40825826849742036
189,2,0.15278417801623723,0.49932660963719966
190,2,0.08831932464384724,0.2616438612735514
191,2,0.1520533007476259,0.5231207143324978
192,2,0.15440444180209426,0.5890569832131299
193,2,0.14954221308977073,0.4274404472810224
194,2,0.13981941773654125,0.4443241157294948
195,2,0.16126755884191127,1.001962423096827
196,2,0.13555979778328622,0.4036130303798381
197,2,0.13377220097332654,0.5387852859001819
199,2,0.1427218287479974,0.566602409903097
200,2,0.11419537282654692,0.4587217155956891
201,2,0.08136124479977175,0.22497299429948686
202,2,0.10676367728150939,0.4385926320446577
203,2,0.07993237385714833,0.2475398896812156
205,2,0.1358359715926029,0.22359766308308396
206,2,0.09358585824719401,0.2800160353855982
208,2,0.07929871249038478,0.33473076179967376
209,2,0.07690707496364133,0.2433195242778942
210,2,0.08502574412717286,0.2637934010496813
211,2,0.07435335697016057,0.3304545129582358
212,2,0.09269334736331951,0.32387949795795523
213,2,0.08823239137780858,0.2369469714789893
214,2,0.08538457102569554,0.331356740640186
215,2,0.09378745906732405,0.3194200499982494
216,2,0.08093736606223582,0.3044088996667152
217,2,0.09494299344229833,0.49383916360172875
219,2,0.07753576159538865,0.2643235541392938
220,2,0.08705321046859185,0.2373837182459461
221,2,0.0649083950771727,0.18853477048322298
222,2,0.08608497050562841,0.2988354730869558
223,2,0.09765013014773302,0.18514789892173922
224,2,0.13028150161930804,0.3411943551020133
225,2,0.14175424885735188,0.3387608211094344
226,2,0.0887012869327717,0.2638677350116948
227,2,0.08502076192663946,0.3126856656936079
228,2,0.09592549413833973,0.41045883948013717
230,2,0.10622007802594188,0.5794563441453571
231,2,0.12392853816116998,0.6290648623216086
232,2,0.10898919976780089,0.5403241828953603
233,2,0.1243560201129692,0.5270754663854946
234,2,0.1074424159209929,0.3624916158236069
235,2,0.12431923091382574,0.45213341393013706
236,2,0.11298840710375807,0.2948569403677763
237,2,0.14518483295056941,0.3299294744278716
238,2,0.11081106646701894,0.3220235706251455
242,2,0.14039943245991215,0.467252972679931
243,2,0.13661646862973267,0.9251023211720513
244,2,0.07652234185012614,0.42719423705216486
245,2,0.07372984017469483,0.22351080761974854
246,2,0.07893087751020557,0.24641915322421576
247,2,0.07286747950458673,0.2187203520771959
248,2,0.136520341107382,0.4642760930103629
249,2,0.0851089065965079,0.3306944872231779
250,2,0.07921391086914216,0.32207360550340347
252,2,0.06749667019620056,0.2722138885241886
253,2,0.06514700946421964,0.21644448122971546
254,2,0.08546640294169322,0.6631052725714417
255,2,0.07346664386237733,0.459851996331636
256,2,0.05904837055033469,0.1975000802133947
257,2,0.07090544394099646,0.26977753268998816
258,2,0.06495146050917801,0.34116384863498717
259,2,0.06734838458370235,0.32174771498256344
260,2,0.06970845754235062,0.35564500707038416
261,2,0.07447964603862728,0.23687428498686547
263,2,0.08178744783845646,0.23573227934930996
265,2,0.09486159597094312,0.2254826046969964
268,2,0.15896415769082664,0.5948941219066223
269,2,0.13533153127483263,0.9197300496704454
270,2,0.11025240623829687,0.36048109041828674
271,2,0.10774092870589372,0.5043831497139571
272,2,0.09275735445367952,0.37676200746583965
274,2,0.08826783112484275,0.28344927845707146
275,2,0.09771290516760495,0.3888606490512446
276,2,0.08932836545888807,0.23306085348537633
277,2,0.09615829092096642,0.38848551907397916
278,2,0.10914407113088179,0.35772591096210754
