frame_idx,retval,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,p_error
0,True,1.0753616035029023,-0.2717495936851996,-2.3400567155701526,0.11032726973781681,0.04291417353867714,2.7500463962421415,1.484204888343811
1,True,1.0753429853594694,-0.271799017209967,-2.3399736935848243,0.11031304657570426,0.042927960852735515,2.7499188391548843,1.4801369905471802
2,True,1.0753651093356753,-0.2719043570428249,-2.3399770387784478,0.11031939491636232,0.04292440471038098,2.7500158811171915,1.4857757091522217
3,True,1.0752130611439137,-0.27186926452611665,-2.3400674428677655,0.11033418398500708,0.042918820454138334,2.750345489242575,1.482001543045044
4,True,1.075268113561363,-0.27187843012629387,-2.33998228906992,0.11032587927560518,0.042922779827272925,2.7501811265076936,1.4866619110107422
5,True,1.0753099380741147,-0.27181084936854394,-2.3399951059989332,0.11031701889274123,0.042919588165666746,2.7500344289317544,1.488143801689148
6,True,1.075379643849522,-0.2717170004206757,-2.3399730945517754,0.11030783502422466,0.042925975947833116,2.7499156626959516,1.484489917755127
7,True,1.0752787116245017,-0.2719552185800074,-2.3400061941588897,0.110327483605589,0.04292744435101115,2.750091760991008,1.4862416982650757
8,True,1.0752803637203978,-0.27198542861877173,-2.3399971419748513,0.11032870773800003,0.04292818936402781,2.750128538522755,1.4769052267074585
9,True,1.075219152665753,-0.2719467495946332,-2.340018190867588,0.110330884609809,0.04292764568368502,2.750159359371051,1.4800959825515747
10,True,1.0752862295996195,-0.2720037187375856,-2.339988638479362,0.1103250874661925,0.04293032177647886,2.75003473080575,1.4817110300064087
11,True,1.0751416872196748,-0.2723121189234833,-2.339883088419574,0.11032942392700405,0.04294002215734385,2.7500703437526743,1.482480525970459
12,True,1.0752736856727132,-0.272170810787842,-2.33995655454825,0.1103169169298163,0.04294186849909501,2.7497083097931543,1.487375259399414
13,True,1.0752449561265838,-0.2717762494835943,-2.339970956864176,0.11031030508500599,0.04292652264227081,2.7500115498161204,1.487856388092041
14,True,1.075129754743169,-0.2719061631345359,-2.340017390680214,0.11033381329006615,0.04292280391202974,2.7503272382992954,1.485011100769043
15,True,1.0753355066911006,-0.27204382564613916,-2.339904174772372,0.11031935029288116,0.04293269611689267,2.750044883797879,1.4784833192825317
16,True,1.0753453367745256,-0.2719044864556919,-2.3398976852786673,0.11031025243185782,0.042933136865678165,2.7500168702612147,1.480859637260437
17,True,1.075329449868755,-0.27210168329769957,-2.3398666323265567,0.11031365934289095,0.04293758063262035,2.750001517857612,1.4876569509506226
18,True,1.075423170385852,-0.27192102608029595,-2.339913130225017,0.1103076908662114,0.0429403123396465,2.7498409148682255,1.4854397773742676
19,True,1.0753724888611154,-0.2719244956013854,-2.3399143823145696,0.11030909992552687,0.042938235492772744,2.749947808104379,1.4863770008087158
20,True,1.0754081163222176,-0.2719445504168572,-2.3398993922848845,0.11031137202420194,0.042931979815705644,2.750006088103784,1.4895931482315063
21,True,1.0752396673650466,-0.2719823223886401,-2.3399908444914264,0.11033750941967425,0.042919348738948995,2.7504601689513426,1.4898507595062256
22,True,1.0752245661564506,-0.2719976222166639,-2.3399897516885293,0.11032723251663709,0.04292720400911614,2.7501504067053473,1.4935990571975708
23,True,1.0750597694620223,-0.27200610549687826,-2.3400340888800852,0.11034061039816513,0.04291626910422517,2.750469117042593,1.486632227897644
24,True,1.0752599889232295,-0.2719768026276905,-2.339977008766044,0.11032423851363589,0.0429285535033084,2.750062858377009,1.4788144826889038
25,True,1.0751160422522104,-0.272164711391038,-2.339996439153519,0.11033813557823126,0.042928053630963046,2.750231032859814,1.4801641702651978
26,True,1.075353779082173,-0.2719218485728206,-2.339987922325435,0.11032208335097864,0.04292907192612634,2.7500330563166258,1.480193853378296
27,True,1.0751566876694616,-0.27200495937906,-2.34000249878506,0.11033602401332891,0.042921771385488645,2.750331327419422,1.4907900094985962
28,True,1.0752808819945834,-0.2721115682252027,-2.339919493560935,0.11032866500248106,0.042930917011814736,2.750188249999343,1.4813977479934692
29,True,1.0754031167511682,-0.27191119459736324,-2.3399692985240255,0.11031693420724159,0.042934793290186596,2.749894413919783,1.4823678731918335
30,True,1.075402741100063,-0.2719436342715487,-2.3399677444044977,0.1103117662083149,0.04293447694013342,2.7497373661395423,1.4830044507980347
31,True,1.0752750541797822,-0.2719938414893619,-2.3400166320174396,0.1103309734944684,0.042926709610227355,2.750079301355424,1.4840843677520752
32,True,1.0752071296337198,-0.2721785990438135,-2.3400476593341497,0.11034424477964608,0.04292326346551195,2.7502412043593147,1.493520736694336
33,True,1.0752716965680003,-0.2721511533933651,-2.3400047777815525,0.11033211200023994,0.042925625656071095,2.750078801800298,1.4890925884246826
34,True,1.0753225490717844,-0.27218101952080953,-2.3399373613085697,0.11032047942817765,0.042933116109710956,2.7499360250665443,1.4940330982208252
35,True,1.0752854346134746,-0.2721269032420511,-2.3400194856320615,0.11033680774315462,0.04292760743476491,2.750144523770276,1.4843850135803223
36,True,1.075336613480867,-0.2720604355863148,-2.3399239957104063,0.11032418364866979,0.042925475668375554,2.7501949682369045,1.4915728569030762
37,True,1.0752143733490342,-0.2719766859942612,-2.340018159168929,0.11033651889759458,0.04292002631007817,2.7503631612137824,1.481759786605835
