frame,baseline_mm,cam1_x_mm,cam1_y_mm,cam1_z_mm,mean_spacing_err_mm,max_spacing_err_mm,pnp_err0_px,pnp_err1_px
0,642.173294255232,48.057802131265994,-497.31493117050223,403.4288620609679,0.06277972624078451,0.19026668232694985,0.1659566805434193,0.1700382170810909
1,642.0046135218838,48.320076847476145,-497.22272403121997,403.2426771360028,0.054030825064313066,0.19425857620133935,0.1373861092211025,0.15571455606525175
2,642.3850347137709,48.51657515010348,-497.3448098753244,403.67414439123326,0.06618856484162985,0.1954026141744586,0.13205089168220296,0.16352120187895855
3,642.4500569752805,48.5116321867361,-497.33039721802726,403.7959549736466,0.05982226793488736,0.16872303883190207,0.12900991015467397,0.16554282944516238
4,642.2558996557689,48.49866419619441,-497.2804437978883,403.5500965555592,0.05656460691621246,0.17695675160862845,0.14157167139979046,0.15765558363635046
5,641.9369499663179,48.627888815682844,-497.1552994721376,403.18108136190807,0.05729596961943864,0.1638401044946232,0.12820771696377695,0.15623965164747355
6,642.0802442574127,48.415307010316084,-497.2247678194327,403.3491395548858,0.0509620250777446,0.16864049277774684,0.12812175489419209,0.1491080964928493
7,641.955961752745,48.56282426941296,-497.19670786065274,403.16813195166947,0.05206685301864631,0.14148981504990762,0.1366302291333406,0.15341676322195374
8,641.9329970778715,47.83569522899575,-497.1929878543908,403.22307948300886,0.05935010097852396,0.15979721549648843,0.1300257733352054,0.15470164204174874
9,642.2468633344554,48.37437807402869,-497.2822412015024,403.54841790609015,0.05688028929260147,0.17468637870494616,0.13584389419731896,0.1564374273104661
10,641.8005101439661,48.30892505382595,-497.1446383888961,403.0153236570199,0.06031063351789384,0.2147025581026689,0.13766051363740578,0.15631061713515013
11,642.2748480621839,48.64889102929161,-497.2689167709407,403.57637476489685,0.059111877469561876,0.22356646925014712,0.1332558196838045,0.16566523815371953
12,642.3973400563194,48.71583456788034,-497.29213018908735,403.734624754664,0.05405983194914106,0.22093557317823947,0.11606241869572424,0.16565723702124588
13,642.2659534236774,48.27708023068538,-497.2629539247027,403.61421321071487,0.06480055729859349,0.1614224485947842,0.14545342521467655,0.15645370216215038
14,642.5113912892257,48.62804305846548,-497.313602716313,403.90021282247636,0.054429950704974216,0.2068387583281095,0.11990312786516015,0.16189075246719464
17,642.189132199969,48.53525275413028,-497.2663114609234,403.45684557569456,0.06585679995772394,0.19456096529816072,0.14292327150614167,0.16635136352559948
18,642.011450691882,48.54815335394434,-497.19634088987374,403.25869889084504,0.06062483422131978,0.19153156988355527,0.1347621872562902,0.16901176944972524
19,642.3848139101096,48.301626132836624,-497.34165293043515,403.7034583895365,0.0629051550028329,0.22827006472835032,0.13177345259602,0.1660207880911266
20,642.2182370221561,48.39487028382409,-497.2904977170554,403.49022463299093,0.06567142590406509,0.22724143925630103,0.1313723270635124,0.1605776303025017
21,642.1225622235614,48.6122462815706,-497.2677906037613,403.33978089951063,0.05802245062327539,0.1646771234950009,0.13408782322303556,0.16107197067465182
22,642.2329120351802,48.59547293981577,-497.26711246215984,403.5182922427295,0.06234180569300389,0.18996564159976317,0.1294507367164565,0.16403318427884636
23,642.2427492597017,48.43289531807839,-497.27738228889956,403.5408389390938,0.05740165615709159,0.16816272252066777,0.12643294780149633,0.15995779623670406
24,642.1652216131464,48.5344814480863,-497.2494958540925,403.4396049384314,0.05858979571594725,0.187418795061272,0.14818564138899798,0.1538880182704597
26,642.0797161465968,48.42188705143453,-497.2436627446375,403.32421524323274,0.05833458473201867,0.20135284050213156,0.1376384808591918,0.1558791948752033
27,642.306106900748,48.59286267010718,-497.3101557965577,403.58205807632567,0.06001826911527921,0.1814340526008519,0.13873355207928068,0.15967818189016078
28,642.1697956900065,48.59039924374235,-497.32259358403286,403.3500433974556,0.05353907898650642,0.15830315504546805,0.13055773891841876,0.15514687892465134
