frame,source_cam,target_cam,mean_px_err,n_corners
3,0,1,1.6101672183270324,23
4,0,1,1.3876357699926716,28
5,0,1,1.5074099498945193,42
6,0,1,1.3947858858181135,35
7,0,1,1.2840341597341993,48
8,0,1,1.4589885396064375,59
9,0,1,1.127898576619143,63
10,0,1,1.3274839363416913,63
11,0,1,1.69626432570307,63
12,0,1,1.3021873157523394,63
14,0,1,1.9001306028996805,63
15,0,1,1.5796168139560933,63
16,0,1,1.2055771228248355,63
17,0,1,1.351969237014673,63
18,0,1,1.4178435043647872,63
19,0,1,1.646854802042637,63
20,0,1,1.7780039894322914,63
21,0,1,1.923377055706538,63
22,0,1,1.8039852853295504,63
23,0,1,1.8035636837334172,63
24,0,1,4.128120329804431,3
25,0,1,1.6980170367847445,63
26,0,1,1.791393482550248,63
27,0,1,1.9042760359575506,63
28,0,1,1.3325485164166193,63
29,0,1,1.8928497772197759,63
30,0,1,1.7844850534121472,63
31,0,1,1.7557989556203761,63
32,0,1,1.766862029471014,63
33,0,1,1.775783985110518,63
34,0,1,2.165216261492538,63
35,0,1,3.732041798136619,3
36,0,1,3.2802170053053983,63
37,0,1,2.5628514676798626,63
38,0,1,2.4832785031166758,63
39,0,1,2.3365614935782957,63
40,0,1,2.4890839880991864,63
41,0,1,2.4886223481054097,63
42,0,1,2.696848584329728,63
43,0,1,3.2467780950601743,63
44,0,1,2.9608695723743526,63
45,0,1,3.01529731430737,63
46,0,1,3.6850318392896315,7
47,0,1,3.197596532771127,63
48,0,1,3.1696321449499245,63
49,0,1,3.105557617025534,63
50,0,1,3.1028926514098396,63
51,0,1,3.1518246128335465,63
52,0,1,3.2039618595749846,63
53,0,1,3.2530523861151814,63
54,0,1,3.240638023427182,63
55,0,1,2.9960396247011385,63
56,0,1,3.2633090713114545,63
57,0,1,1.7692582223871105,21
58,0,1,3.067270838435183,63
59,0,1,3.135308810954305,63
60,0,1,3.390365931660195,63
61,0,1,3.245634113069202,63
62,0,1,3.7227937083428517,63
63,0,1,4.885811907961043,63
64,0,1,6.361768721260167,63
65,0,1,10.559341258066429,63
66,0,1,14.942957593756937,63
67,0,1,22.047827166913574,63
68,0,1,1.9361402136735082,21
69,0,1,27.495391000591866,63
70,0,1,31.478121117136407,63
72,0,1,34.61334926353965,63
73,0,1,36.79251460521207,63
74,0,1,35.990240168932225,63
75,0,1,37.275186061447705,63
76,0,1,36.62325624388505,63
77,0,1,33.229798266055575,63
78,0,1,32.29881755867306,63
79,0,1,1.8337009114477383,35
80,0,1,32.44404416801275,61
81,0,1,33.052056352299,63
82,0,1,33.006267991622074,63
83,0,1,31.09854624456936,63
84,0,1,29.18938402666716,63
85,0,1,26.5930907003816,63
86,0,1,24.039952541772823,61
87,0,1,22.6142565558587,63
88,0,1,21.12599942992545,63
89,0,1,20.402153599299165,59
90,0,1,1.8442919700661644,39
91,0,1,18.738035912426774,57
92,0,1,17.865996410541026,60
93,0,1,18.842955418412075,57
94,0,1,17.734972629853164,61
95,0,1,17.031661148871525,63
96,0,1,14.954208164335375,58
97,0,1,16.392061897063698,63
98,0,1,16.10270734206892,55
99,0,1,15.869908087783168,63
100,0,1,17.76944824087669,51
101,0,1,1.8773090120247036,39
102,0,1,6.820092791066689,48
103,0,1,3.7479348099243333,36
104,0,1,2.1577583724413327,39
105,0,1,1.86497095464478,40
106,0,1,1.6368445294536942,36
107,0,1,1.507691433877837,36
108,0,1,1.808669314699601,48
109,0,1,1.4487489891608483,37
110,0,1,1.3682878426445215,34
111,0,1,1.2012722525406467,24
113,0,1,2.0318219546710794,46
114,0,1,1.243225129530712,28
115,0,1,1.359385783688107,27
116,0,1,1.7135700374543323,28
117,0,1,1.9355697461315438,38
118,0,1,2.0035542901213703,48
119,0,1,1.8314624243677589,57
120,0,1,2.1437227192717168,63
121,0,1,2.346934750680318,61
122,0,1,2.7305882871333074,63
123,0,1,2.4697716487284933,63
124,0,1,1.631897811348778,47
125,0,1,2.430244043042931,63
126,0,1,2.4449312675222976,63
127,0,1,2.447257056051536,63
128,0,1,2.134579252294583,63
129,0,1,2.497128073671414,63
130,0,1,2.5007425436562456,63
131,0,1,2.550660209751336,63
132,0,1,2.746635752485503,63
133,0,1,2.5819936459957744,63
134,0,1,2.9260703136695896,63
135,0,1,1.489525288791992,47
136,0,1,2.329837101317353,63
137,0,1,2.569471296365046,63
138,0,1,2.3848950053077527,63
139,0,1,2.253895680954928,63
140,0,1,2.408363338325683,63
141,0,1,2.4202795947278815,63
142,0,1,2.3971165325664385,63
143,0,1,2.3233142064912347,63
144,0,1,2.5496080764421913,63
145,0,1,2.409871783915638,63
146,0,1,2.1027327674636975,55
147,0,1,2.4980638432672375,63
148,0,1,2.6882385427921323,63
149,0,1,2.235469343598439,63
150,0,1,2.2898512456191105,63
151,0,1,2.4025589010073505,63
152,0,1,2.529508396518578,63
153,0,1,2.4743249140134163,63
154,0,1,2.486699785013979,63
155,0,1,2.4201288451748124,63
156,0,1,2.2822616475635047,63
157,0,1,1.6604877404728517,54
158,0,1,2.4802727965458997,63
159,0,1,2.439468787254141,63
160,0,1,2.517103098854131,62
161,0,1,2.5865816700382607,63
162,0,1,2.4657249889263775,63
163,0,1,2.513700009909842,63
164,0,1,2.4509027687280556,63
165,0,1,2.4568163103519622,63
167,0,1,2.442145839539215,63
168,0,1,1.7776736261430406,48
169,0,1,1.6692403325596201,63
170,0,1,2.8122909004289474,61
171,0,1,3.0232823610203785,63
172,0,1,2.761714534386227,63
173,0,1,3.141332528786971,63
174,0,1,3.2997758638407557,63
175,0,1,3.3586076639517954,63
176,0,1,2.9556866503588295,63
177,0,1,3.057669190019852,63
178,0,1,3.2819878685283688,63
179,0,1,3.4740083918777898,49
180,0,1,3.333970697607919,63
181,0,1,3.3688366057528367,63
182,0,1,3.1786768680688415,63
183,0,1,3.011529500694473,63
184,0,1,3.1643572615240627,63
185,0,1,2.7569678449672526,63
186,0,1,3.3046456407504636,63
187,0,1,3.289325525726429,63
188,0,1,3.170317583759029,63
189,0,1,2.7217543745114003,63
190,0,1,1.4080897412010511,48
191,0,1,2.886429157871347,63
192,0,1,2.907063483387893,63
193,0,1,2.950409265253254,63
194,0,1,3.011973858190895,63
195,0,1,3.064583601195768,63
196,0,1,3.3688688201797,63
197,0,1,2.495034487703552,63
198,0,1,3.3933397156244802,63
199,0,1,3.2501971890029164,63
200,0,1,3.3597527588127005,63
201,0,1,1.4134999233946022,50
202,0,1,3.5056118413621804,63
203,0,1,3.195868673098613,63
204,0,1,2.6459189255197972,63
205,0,1,2.425574287625836,63
206,0,1,2.6298676977116235,63
207,0,1,2.369868637603249,63
208,0,1,3.080684852862431,63
209,0,1,2.8539441635335083,63
210,0,1,2.7267391026251735,63
